Geologycal_age,Domain,Rock_type,Country,Age  (Ma),error (Ma),Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb
Quaternary,Arequipa,andesite,Chile,,,-69.111,-18.182,60.99,1.08,16.38,5.94,0.08,2.15,4.77,4.4,3.07,0.42,,,99.28,10.8,245,14,861,84,16,22,97,51,14,16,14,126,1174,8,5.4,30.1,61.5,5.5,2.5
Quaternary,Arequipa,andesite,Chile,,,-69.178,-18.182,59.11,1.28,16.53,3.02,0.09,2.88,5.36,4.63,3.01,0.47,,0.77,99.71,12,242,19,1081,73,0,22.7,99,38,14,39,18,137,1366,,6.1,36.6,56.9,6,2.7
Quaternary,Arequipa,dacite,Chile,,,-69.188,-18.183,70.82,0.34,13.67,2.01,0.05,0.63,1.67,3.93,4.23,0.11,,,97.45,9.3,142,6,371,166,26,19,46,9,4,3,7,33,696,2,10.4,37.9,61.8,3.7,1.8
Quaternary,Arequipa,andesite,Chile,,,-69.171,-18.183,58.65,1.31,16.61,6.82,0.09,2.87,5.52,4.32,2.93,0.48,,,99.6,10.6,253,16,1091,69,15,23,102,49,20,20,14,152,1334,12,6,37.1,68.2,6.2,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.184,-18.183,58.06,1.35,16.43,2.89,0.09,3.47,5.85,4.43,2.74,0.5,,0.83,99.58,12,250,19,1090,62,0,23.6,109,59,27,50,50,150,1252,,5.9,42.8,57.4,7.3,2.9
Quaternary,Arequipa,andesite,Chile,0,0,-69.141,-18.183,59.1,1.33,16.1,6.79,0.09,3.21,5.51,4.28,2.9,0.48,,,99.79,9,232,14,1024,72,22,21,111,50,29,22,59,158,1266,15,,,73.1,,
Quaternary,Arequipa,andesite,Chile,0,0,-69.192,-18.183,58.6,1.42,16.53,7.29,0.09,3.59,5.95,4.51,2.72,0.51,,0.22,101.21,13,239,19,1092,64,16,23,103,55,23,34,46,142,1311,,6,44.1,57.5,7.3,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.182,-18.183,60.03,1.13,15.45,5.9,0.08,2.94,4.96,4.25,3.13,0.41,,,98.28,11,224,13,1071,81,17,22,90,43,28,18,38,130,1302,11,7.2,49.7,82.4,6.9,2.9
Quaternary,Arequipa,andesite,Chile,,,-69.184,-18.184,58.41,1.31,16.59,2.79,0.09,3.36,5.9,4.49,2.71,0.47,,0.67,99.99,12,217,22,1030,67,0,22.4,96,47,18,41,33,142,1150,,5.7,28.5,46.8,5,2.5
Quaternary,Arequipa,andesite,Chile,0.01,0,-69.142,-18.184,58.4,1.29,15.9,6.66,0.08,3.1,5.4,4.22,2.9,0.46,,,98.41,10,226,13,993,71,15,22,110,47,27,18,56,152,1253,7,,,76.4,,
Quaternary,Arequipa,andesite,Chile,,,-69.17,-18.184,58.53,1.32,16.64,6.96,0.09,2.95,5.66,4.31,2.89,0.49,,,99.84,10.9,250,15,1098,68,15,23,102,47,21,20,18,153,1308,13,6.1,36.6,73.2,6,2.8
Quaternary,Arequipa,dacite,Chile,,,-69.173,-18.185,67.94,0.49,14.74,2.76,0.05,0.99,2.32,4.12,4.07,0.17,,,97.64,9.9,179,9,596,128,23,20,57,15,7,6,9,49,1061,3,8.5,45,66.2,5.3,2.2
Quaternary,Arequipa,dacite,Chile,0.04,0,-69.173,-18.186,67.9,0.5,15,2.88,0.05,0.97,2.36,4.07,4.07,0.19,,,97.99,10,174,8,620,130,23,21,59,17,6,9,14,53,1115,3,,,77.5,,
Quaternary,Arequipa,dacite,Chile,0.11,0.01,-69.174,-18.186,68.98,0.5,15.05,1.31,0.05,1.06,2.45,4.31,4.08,0.17,,1.5,99.29,11.3,192.6,6.9,629.4,130,24,,59.1,15.7,4.5,31.7,9.4,38.9,1050,,8.9,50.6,90.8,5.7,2.4
Quaternary,Arequipa,andesite,Chile,0.02,0.01,-69.174,-18.186,61.2,1.11,15.8,5.79,0.08,2.72,4.82,4.23,3.23,0.43,,,99.4,10,220,10,1087,81,18,23,86,23,29,14,37,128,1348,9,,,108.7,,
Quaternary,Arequipa,rhyolite,Chile,,,-69.177,-18.187,72.16,0.28,13.39,1.7,0.04,0.47,1.39,3.89,4.34,0.09,,,97.75,9.1,128,6,290,180,28,19,39,7,3,3,5,27,562,4,10.2,25.8,48.3,2.5,1.5
Quaternary,Arequipa,andesite,Chile,,,-69.175,-18.187,60.75,1.1,15.73,5.85,0.08,2.82,4.97,4.33,3.24,0.41,0,,99.28,12,216,14,1104,84,,,88,30,22,44,33,117,1325,,7.4,49.3,78.9,6.7,2.8
Quaternary,Arequipa,andesite,Chile,0,0,-69.155,-18.187,58.6,1.28,16.3,6.51,0.08,3.06,5.41,4.47,2.98,0.49,,,99.18,8,252,15,1108,64,15,21,108,48,27,22,44,146,1443,13,6.5,47,73.9,7.3,2.8
Quaternary,Arequipa,andesite,Chile,0.03,0,-69.175,-18.187,61,1.11,15.7,5.73,0.08,2.73,4.83,4.26,3.19,0.41,,,99.03,9,214,12,1074,81,17,22,90,33,29,17,34,122,1348,12,,,89.5,,
Quaternary,Arequipa,andesite,Chile,0,0,-69.142,-18.187,57.5,1.35,16.4,7.1,0.09,3.23,5.68,4.3,2.87,0.49,,,99,8,238,16,1145,62,15,20,105,45,25,21,28,159,1392,16,6.3,41,71.6,6.5,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.17,-18.188,58.9,1.24,16.28,2.71,0.1,3.17,5.53,4.18,2.83,0.45,,0.82,99.07,12,249,19,1006,75,,23,104,49,31,18,51,135,1233,,,,52.9,,
Quaternary,Arequipa,rhyolite,Chile,,,-69.189,-18.188,71.69,0.3,13.37,1.7,0.04,0.58,1.42,4.03,4.42,0.09,1.76,,97.64,12,127,7,287,183,28,,40,3,2,29,2,14,519,,13.2,47.3,41,3.6,1.7
Quaternary,Arequipa,andesite,Chile,,,-69.176,-18.188,59.21,1.27,16.41,6.9,0.09,3.19,5.54,4.3,2.88,0.46,,,100.25,10.7,251,15,996,76,16,23,105,47,30,21,52,151,1244,12,6.1,38.3,66.4,6.3,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.149,-18.188,59.15,1.28,16.39,2.55,0.08,3.15,5.46,4.55,2.97,0.48,,0.68,99.61,12,255,18,1136,68,0,24.1,103,49,22,39,43,130,1448,,6.4,46.3,63.1,7.3,2.9
Quaternary,Arequipa,andesite,Chile,,,-69.162,-18.189,57.91,1.32,16.22,2.77,0.14,3.45,5.83,4.27,2.73,0.48,,0.48,99.45,12,244,19,1042,67,,24,110,50,41,20,94,151,1246,,,,54.8,,
Quaternary,Arequipa,andesite,Chile,,,-69.147,-18.189,58.6,1.33,16.64,2.7,0.09,3.2,5.66,4.43,2.89,0.48,,0.53,99.84,13,245,20,1164,59,0,,100,49,24,46,26,148,1374,,6.3,39.6,58.2,6.3,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.191,-18.189,58.61,1.28,16.3,6.89,0.09,3.19,5.55,4.28,2.84,0.46,,,99.49,10.9,249,15,1000,73,14,23,105,42,30,21,51,151,1231,11,6,38.7,66.7,6.5,2.8
Quaternary,Arequipa,andesite,Chile,0.03,0.01,-69.142,-18.19,63.9,0.89,15.5,4.54,0.06,1.85,3.74,4.5,3.56,0.37,,,98.91,8,214,9,932,93,21,21,85,32,20,14,31,91,1255,8,7.8,62.4,103.6,8,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.169,-18.19,59.53,1.31,16.36,7.05,0.1,3.28,5.55,4.35,2.82,0.46,,0.18,100.81,11,242,19,991,77,18,23,100,64,26,16,50,127,1253,,,,52.2,,
Quaternary,Arequipa,andesite,Chile,0.03,0,-69.118,-18.19,63.8,0.82,16,4.21,0.06,1.77,3.77,4.49,3.48,0.32,,,98.72,6,198,11,952,86,18,22,76,28,16,13,35,83,1377,10,7.5,55.3,86.5,7.3,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.176,-18.19,59.15,1.3,16.37,6.99,0.09,3.25,5.49,4.35,2.91,0.45,,0.25,100.35,12,242,19,986,77,17,24,100,54,27,16,50,128,1232,,,,51.9,,
Quaternary,Arequipa,andesite,Chile,,,-69.165,-18.19,58.85,1.27,16.15,2.78,0.09,3.19,5.5,4.22,2.87,0.45,,0.54,99.04,14,237,18,999,76,19,23,94,33,26,74,66,123,1210,,,,55.5,,
Quaternary,Arequipa,andesite,Chile,,,-69.147,-18.19,59.28,1.29,16.18,6.78,0.09,3.16,5.47,4.34,2.93,0.47,,,99.99,11.5,238,14,1022,75,18,23,61,49,30,20,59,151,1251,11,5.9,42.2,73,7.2,3
Quaternary,Arequipa,andesite,Chile,,,-69.189,-18.19,59,1.24,16.17,2.57,0.09,3.18,5.49,4.32,2.89,0.45,,0.62,99.21,10,240,18,972,76,17,24,91,45,23,42,51,126,1264,,,,54,,
Quaternary,Arequipa,andesite,Chile,0,0,-69.147,-18.19,58.3,1.29,16.3,6.52,0.08,3.08,5.38,4.42,2.98,0.49,,,98.83,8,253,14,1103,63,15,22,104,46,30,17,42,145,1428,16,6,41.2,78.8,6.8,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.195,-18.191,59.17,1.32,16.31,7.1,0.1,3.3,5.55,4.39,2.89,0.46,,0.14,100.59,14,243,19,992,78,17,24,100,61,25,16,57,132,1230,,,,52.2,,
Quaternary,Arequipa,andesite,Chile,0,0,-69.134,-18.191,57.9,1.35,16.3,7.05,0.09,3.14,5.51,4.34,2.96,0.5,,,99.14,9,242,16,1113,65,12,22,105,50,25,25,20,161,1419,16,6.8,45.9,69.6,6.7,2.9
Quaternary,Arequipa,dacite,Chile,,,-69.18,-18.191,68.22,0.52,15.09,3.03,0.05,1.09,2.46,4.17,4.07,0.18,,,98.88,9.7,187,9,628,128,24,21,60,13,8,7,11,55,1076,5,8.8,49.5,69.8,5.6,2.4
Quaternary,Arequipa,andesite,Chile,0.03,0,-69.14,-18.191,63.4,0.86,15.5,4.37,0.06,1.78,3.68,4.43,3.63,0.35,,,98.05,13,212,9,945,92,19,19,83,28,18,12,30,89,1377,8,7.8,62.6,105,8,3
Quaternary,Arequipa,andesite,Chile,,,-69.148,-18.191,58.38,1.33,16.37,2.83,0.09,3.23,5.6,4.64,2.94,0.49,,0.79,99.76,13,248,20,1134,70,17,24.6,102,57,18,61,28,145,1459,,6.2,36.3,56.7,5.9,2.7
Quaternary,Arequipa,rhyolite,Chile,0.04,0.01,-69.243,-18.193,72.2,0.27,13.3,1.7,0.04,0.45,1.27,3.89,4.51,0.09,,,97.71,9,131,7,246,192,30,17,41,28,5,3,5,26,501,3,12.5,32.6,35.1,2.6,1.4
Quaternary,Arequipa,dacite,Chile,0.03,0,-69.124,-18.193,64.4,0.82,15.7,4.23,0.06,1.77,3.6,4.44,3.66,0.32,,,98.99,8,203,12,879,93,20,22,79,30,16,12,32,86,1368,9,7.7,56,73.3,7.3,2.7
Quaternary,Arequipa,dacite,Chile,,,-69.148,-18.193,63.44,0.98,15.7,4.92,0.06,2.03,4.11,4.66,3.61,0.4,0,,99.91,12,233,20,1005,73,52,,85,30,15,42,34,94,1284,,7.3,56.8,50.3,7.8,3
Quaternary,Arequipa,andesite,Chile,,,-69.145,-18.193,57.3,1.32,16.32,7.19,0.1,3.35,5.93,3.9,2.61,0.47,,0,98.49,13,227,19,1028,71,0,,99,46,22,40,33,148,1130,,5.8,29.3,54.1,5,2.6
Quaternary,Arequipa,andesite,Chile,,,-69.185,-18.194,59.11,1.33,16.35,7.13,0.09,3.38,5.57,4.39,2.89,0.46,,0.01,100.7,14,244,19,993,77,17,23,101,55,28,18,53,127,1245,,,,52.3,,
Quaternary,Arequipa,andesite,Chile,,,-69.2,-18.194,61.05,1.15,16.71,6.21,0.08,2.58,4.99,4.47,3.24,0.42,0,,100.9,16,269,18,1013,79,,,94,35,17,51,27,114,1378,,6.5,43.3,56.3,6.7,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.162,-18.194,58.93,1.28,16.23,2.93,0.09,3.27,5.57,4.37,2.83,0.46,,0.84,99.52,12,237,19,1009,74,17,23,103,49,25,45,51,139,1264,,5.9,38,53.1,6.4,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.161,-18.194,59.23,1.33,16.33,7.15,0.09,3.33,5.66,4.33,2.81,0.46,,0.25,100.72,12,240,19,992,77,18,23,107,84,27,18,62,135,1242,,6,38.6,52.2,6.4,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.166,-18.195,59.1,1.25,16.52,7,0.11,3.2,5.61,4.42,2.81,0.45,,0.65,100.47,13,245,19,1023,72,,23,103,55,32,17,71,143,1226,,,,53.8,,
Quaternary,Arequipa,andesite,Chile,0.02,0.01,-69.253,-18.196,61.8,1.06,15.7,5.55,0.07,2.58,4.63,4.38,3.35,0.4,,,99.52,7,221,16,1053,82,16,21,87,46,25,18,30,120,1367,11,7.7,53.5,65.8,6.9,2.7
Quaternary,Arequipa,andesite,Chile,0.01,0,-69.159,-18.196,58.5,1.27,16.2,6.82,0.09,3.2,5.46,4.28,2.86,0.46,,,99.13,9,236,16,974,69,11,19,105,45,29,24,51,151,1252,15,6,37,60.9,6.2,2.7
Quaternary,Arequipa,andesite,Chile,0,0,-69.143,-18.196,59.8,1.13,16.2,6.45,0.09,2.92,5.29,4.14,3.02,0.4,,,99.44,8,227,17,942,78,17,22,97,25,26,17,44,143,1245,11,6.1,29.5,55.4,4.9,2.5
Quaternary,Arequipa,dacite,Chile,,,-69.16,-18.197,67.82,0.5,15.05,2.9,0.05,1.03,2.34,4.13,4.04,0.18,,,98.04,9.9,186,9,642,125,25,21,57,16,6,6,11,53,1102,6,8.5,48.2,71.3,5.7,2.4
Quaternary,Arequipa,andesite,Chile,0,0,-69.19,-18.197,58.7,1.26,16.4,6.77,0.09,3.18,5.47,4.3,2.86,0.46,,,99.48,8,236,16,981,73,12,20,106,44,29,22,52,147,1240,12,5.9,35.6,61.3,6,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.272,-18.197,61.05,1.06,15.72,5.63,0.08,2.66,4.8,4.36,3.36,0.4,1.04,,99.12,,,,,,,,,,,,,,,,7.5,49.7,,6.6,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.272,-18.197,62.6,0.92,16.11,5.08,0.08,2.1,4.22,4.29,3.32,0.35,,,99.06,10.5,234,13,869,95,21,22,86,34,16,14,28,101,1224,9,6.9,39.9,66.8,5.8,2.5
Quaternary,Arequipa,rhyolite,Chile,,,-69.272,-18.197,72.68,0.35,13.69,2.06,0.04,0.7,1.66,4.08,4.49,0.1,0.48,,99.85,,,,,,,,,,,,,,,,12.1,47.1,,3.9,1.8
Quaternary,Arequipa,andesite,Chile,,,-69.272,-18.197,57.64,1.43,16.55,6.95,0.09,3.11,5.55,4.45,2.77,0.54,,,99.08,11.1,247,13,1179,47,27,22,122,66,33,21,77,157,1307,13,5.4,50.5,90.7,9.4,3.5
Quaternary,Arequipa,andesite,Chile,,,-69.19,-18.197,59.32,1.31,16.29,7.07,0.1,3.28,5.49,4.4,2.92,0.46,,0.05,100.64,14,239,18,993,78,18,24,97,51,24,18,51,119,1270,,,27.9,55.2,,
Quaternary,Arequipa,andesite,Chile,0.02,0.01,-69.139,-18.198,58.6,1.14,16.7,6.64,0.09,2.84,5.4,4.09,2.89,0.41,,,98.8,9,220,17,955,71,18,22,99,59,22,19,23,146,1252,9,6.4,33.2,56.2,5.2,2.6
Quaternary,Arequipa,rhyolite,Chile,,,-69.139,-18.198,73.6,0.25,13.3,1.62,0.04,0.44,1.29,3.83,4.37,0.09,,,98.83,10,127,6,267,187,27,17,38,9,4,4,4,24,528,3,11.5,26.9,44.5,2.3,1.4
Quaternary,Arequipa,andesite,Chile,0.03,0,-69.141,-18.198,61.7,1.11,15.4,5.41,0.07,2.26,4.29,4.43,3.41,0.44,,,98.51,9,225,15,999,82,19,22,95,42,20,17,36,114,1265,11,6.9,53.6,66.6,7.7,2.9
Quaternary,Arequipa,andesite,Chile,,,-69.138,-18.198,58.36,1.35,16.63,7.13,0.09,3.22,5.81,4.35,2.94,0.49,0,,100.37,13,248,18,1169,68,,,98,50,24,50,31,142,1382,,6.4,40.6,64.9,6.4,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.159,-18.199,58.83,1.26,16.29,2.68,0.11,3.21,5.61,4.27,2.83,0.46,,0.5,99.41,11,251,19,1017,75,,23,103,50,28,17,57,138,1233,,,,53.5,,
Quaternary,Arequipa,andesite,Chile,,,-69.14,-18.199,63.18,0.92,15.47,4.71,0.07,1.93,3.86,4.4,3.48,0.38,,,98.39,11,230,11,952,93,19,22,87,40,18,12,31,96,1232,8,7.6,58.5,86.5,7.7,2.9
Quaternary,Arequipa,andesite,Chile,,,-69.134,-18.199,58.32,1.32,16.64,6.97,0.09,3.13,5.75,4.34,2.89,0.5,,,99.95,11.2,252,15,1184,65,15,23,102,52,26,22,24,154,1397,11,6.2,38.7,78.9,6.3,2.8
Quaternary,Arequipa,dacite,Chile,0.05,0,-69.158,-18.199,68.2,0.5,14.8,2.92,0.05,1.03,2.28,4.05,4.13,0.18,,,98.14,11,186,9,563,129,24,18,59,16,8,9,13,48,1037,5,8.2,42.7,62.6,5.2,2.3
Quaternary,Arequipa,andesite,Chile,,,-69.185,-18.199,59.35,1.35,16.4,7.28,0.1,3.4,5.66,4.4,2.79,0.47,,0.09,101.2,13,242,20,998,74,17,24,104,62,28,19,60,132,1251,,,,49.9,,
Quaternary,Arequipa,andesite,Chile,0.03,0.01,-69.128,-18.199,63.1,1.02,15.8,5.02,0.07,2.06,4.19,4.5,3.45,0.4,,,99.61,8,223,9,1008,89,19,22,88,35,19,11,33,107,1301,8,,,112,,
Quaternary,Arequipa,andesite,Chile,,,-69.165,-18.2,58.63,1.24,16.3,2.6,0.11,3.2,5.6,4.23,2.81,0.45,,0.18,99.13,12,241,19,1023,73,,23,98,47,32,21,59,128,1211,,,,53.8,,
Quaternary,Arequipa,dacite,Chile,0.04,0.01,-69.181,-18.201,67.3,0.5,14.5,2.94,0.05,1.01,2.23,4.02,4.09,0.18,,,96.82,11,181,10,558,130,28,19,60,15,9,9,13,57,962,4,8.4,43,55.8,5.1,2.1
Quaternary,Arequipa,andesite,Chile,0.01,0.02,-69.185,-18.201,60.53,1.23,15.95,6.26,0.08,3.09,5.41,4.4,3.23,0.44,,-0.06,100.62,12,220,18,1147,78,16,22.2,84,41,27,29,32,120,1323,,7.9,50.2,63.7,6.3,2.4
Quaternary,Arequipa,andesite,Chile,0.01,0,-69.185,-18.201,59.9,1.17,15.7,6.14,0.08,3.06,5.2,4.32,3.1,0.44,,,99.1,6,213,16,1111,73,17,21,95,39,27,20,44,137,1327,13,7.2,47.2,69.4,6.5,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.188,-18.203,59.03,1.3,16.39,6.92,0.09,3.31,5.59,4.41,2.89,0.46,,0.38,100.39,14,239,19,993,75,17,23,101,50,24,46,45,140,1273,,6.2,41.2,52.3,6.6,2.8
Quaternary,Arequipa,dacite,Chile,0.05,0,-69.161,-18.204,68.6,0.48,15,2.77,0.05,0.96,2.3,4.11,4.18,0.17,,,98.62,10,173,9,613,129,24,20,57,17,9,5,12,49,1172,7,,,68.1,,
Quaternary,Arequipa,dacite,Chile,,,-69.109,-18.204,64.03,0.86,15.63,4.65,0.07,1.93,3.91,4.45,3.6,0.34,0,,99.47,13,223,14,897,101,,,79,26,17,27,32,81,1205,,7.6,52.4,64.1,6.9,2.7
Quaternary,Arequipa,dacite,Chile,0.05,0.01,-69.113,-18.205,64.61,0.88,15.57,2.35,0.06,1.97,3.8,4.93,3.57,0.35,,1.1,100.03,9,198,11,895,97,21,,102,37,33,25,37,92,1209,,7.5,55.8,81.4,7.5,2.8
Quaternary,Arequipa,andesite,Chile,,,-69.189,-18.205,58.4,1.28,15.99,6.83,0.09,3.27,5.66,4.19,2.95,0.49,,0,99.15,12.5,242.5,19,1204.5,76.5,0,22.5,98.5,49,30.5,32,61.5,135,1395,,6.7,50.3,63.4,7.5,3
Quaternary,Arequipa,andesite,Chile,,,-69.137,-18.206,59.05,1.28,16.32,2.49,0.08,3.16,5.49,4.55,2.96,0.49,,0.7,99.5,11,254,18,1156,67,0,23.6,104,51,21,33,37,128,1437,,6.5,47.2,64.2,7.3,3
Quaternary,Arequipa,dacite,Chile,,,-69.159,-18.207,68.96,0.46,14.53,1.29,0.05,0.99,2.29,3.98,4.1,0.16,1.92,,98.08,12,153,8,522,137,,19.3,46,12,8,7,22,37,940,,,,65.3,,
Quaternary,Arequipa,dacite,Chile,0.04,0,-69.145,-18.207,68.4,0.51,14.7,3.01,0.05,1.08,2.24,4.09,4.25,0.17,,,98.5,10,179,9,549,131,22,19,62,23,9,11,12,53,1094,8,8.4,44.1,61,5.3,2.3
Quaternary,Arequipa,dacite,Chile,,,-69.144,-18.208,67.81,0.53,14.93,2.95,0.05,1.08,2.49,4.21,4.2,0.18,1.53,,98.43,13,187,7,636,133,,,57,17,6,21,7,42,1043,,9.1,53.4,90.9,5.8,2.5
Quaternary,Arequipa,dacite,Chile,0.03,0.01,-69.129,-18.208,61.6,1.09,15.5,5.36,0.07,2.24,4.21,4.37,3.4,0.43,,,98.27,13,232,11,976,86,18,21,94,26,22,15,32,110,1256,8,6.9,56.3,88.7,8.2,3.1
Quaternary,Arequipa,andesite,Chile,,,-69.16,-18.209,53.21,1.64,15.9,8.79,0.11,5.05,7.37,4.29,2.67,0.8,,-0.05,99.83,16,246,24,1944,49,23,25,129,75,58,24,50,182,1867,,,,81,,
Quaternary,Arequipa,basaltic andesite,Chile,,,-69.158,-18.21,53.32,1.65,15.88,8.82,0.12,4.98,7.57,4.26,2.41,0.74,,,99.75,13.2,257,18,1669,45,16,24,123,68,56,29,70,208,1654,17,6.1,54.9,92.7,9,3.3
Quaternary,Arequipa,andesite,Chile,,,-69.233,-18.21,58.66,1.3,16.08,7.17,0.1,3.64,6.12,4.23,2.87,0.47,0,,100.64,,,,,,,,,,,,,,,,6.5,41.9,,6.5,2.7
Quaternary,Arequipa,rhyolite,Chile,,,-69.154,-18.21,67.59,0.54,15,3.09,0.05,1.12,2.56,4.19,3.95,0.2,,,98.29,10.7,193,10,634,125,22,21,61,14,8,7,13,58,1023,5,8.1,43.1,63.4,5.3,2.4
Quaternary,Arequipa,andesite,Chile,0.03,0.01,-69.234,-18.21,58.1,1.27,15.9,6.86,0.09,3.47,5.76,4.2,2.85,0.46,,,98.96,8,215,17,1103,65,13,24,97,46,34,22,50,160,1281,13,7.4,50.7,64.9,6.8,2.9
Quaternary,Arequipa,andesite,Chile,,,-69.153,-18.211,56.47,1.4,16.58,8.15,0.1,4.01,6.56,4.14,2.26,0.43,,,100.1,12,192,20,812,58,36,24,109,64,37,78,71,178,887,,4.8,26.9,40.6,5.6,2.7
Quaternary,Arequipa,andesite,Chile,,,-69.218,-18.211,58.36,1.3,16.07,7.17,0.1,3.65,6.1,4.14,2.85,0.46,0,,100.2,,,,,,,,,,,,,,,,6.4,40.5,,6.3,2.7
Quaternary,Arequipa,dacite,Chile,0.05,0,-69.168,-18.211,67.1,0.5,15.3,2.93,0.05,1.07,2.66,4.27,4.02,0.19,,,98.08,9,181,9,708,116,24,21,56,13,7,11,12,57,1326,9,7.7,40.7,78.7,5.3,2.2
Quaternary,Arequipa,dacite,Chile,0.04,0,-69.155,-18.212,68.5,0.53,14.6,3.1,0.05,1.1,2.37,4.14,4.18,0.18,,,98.75,11,191,10,561,131,25,20,64,18,7,8,14,56,1026,3,8.1,43.9,56.1,5.4,2.4
Quaternary,Arequipa,rhyolite,Chile,,,-69.153,-18.212,67.51,0.54,14.95,3.03,0.05,1.1,2.54,4.28,4.15,0.17,1.21,,98.32,13,191,13,642,128,25,,60,16,7,14,6,41,1038,,8.4,49.5,49.4,5.9,2.4
Quaternary,Arequipa,basaltic andesite,Chile,0,0,-69.153,-18.213,54.04,1.62,16.06,8.59,0.11,4.79,7.58,4.25,2.63,0.76,,0.01,100.43,15,244,24,1760,51,19,24,129,67,47,44,58,190,1732,,6.9,56.1,73.3,8.2,2.7
Quaternary,Arequipa,dacite,Chile,,,-69.131,-18.216,63.04,0.71,17.09,4.43,0.07,1.3,3.43,4.3,3.75,0.28,1.94,,98.4,28,287,16,819,127,24,,84,28,2,28,6,68,1282,,7.5,37.4,51.2,5,2.3
Quaternary,Arequipa,dacite,Chile,0.05,0,-69.226,-18.216,66.9,0.54,15,3.05,0.05,1.09,2.5,4.02,3.98,0.2,,,97.33,11,192,14,592,123,22,20,63,17,8,8,11,58,1172,9,,,42.3,,
Quaternary,Arequipa,andesite,Chile,0.02,0.01,-69.226,-18.216,57.9,1.29,16,6.97,0.09,3.57,5.84,4.16,2.8,0.47,,,99.09,7,214,17,1084,66,15,20,101,47,30,22,52,157,1269,11,7.3,49,63.8,6.7,2.9
Quaternary,Arequipa,andesite,Chile,,,-69.186,-18.218,58.46,1.32,16.3,7,0.09,3.34,5.85,4.26,3.04,0.5,0,,100.16,13,237,18,1162,71,,,98,28,27,27,62,141,1356,,6.3,49,64.6,7.7,3.1
Quaternary,Arequipa,dacite,Chile,0.03,0,-69.274,-18.218,63.5,0.87,15.8,4.83,0.07,1.93,3.88,4.31,3.5,0.34,,,99.03,10,222,15,799,98,21,22,86,29,11,14,26,92,1222,6,7.2,42.3,53.3,5.8,2.6
Quaternary,Arequipa,basaltic andesite,Chile,,,-69.153,-18.219,53.5,1.62,15.91,5.83,0.11,4.99,7.39,4.36,2.5,0.77,,0.61,99.46,15,219,21,1865,51,16,,115,67,49,50,53,198,1789,,6.4,57.8,88.8,9,3.3
Quaternary,Arequipa,andesite,Chile,,,-69.152,-18.219,56.5,1.4,16.48,8.12,0.1,4.05,6.5,4.13,2.28,0.42,,0.33,99.98,12,189,19,794,59,108,24,108,67,38,78,85,185,883,,4.7,25.6,41.8,5.5,2.8
Quaternary,Arequipa,andesite,Chile,0.12,0.01,-69.192,-18.22,58.7,1.32,16,6.87,0.09,3.25,5.66,4.24,2.95,0.51,,,99.59,10,241,11,1176,83,12,25,105,28,36,20,66,154,1392,9,,,106.9,,
Quaternary,Arequipa,basaltic andesite,Chile,,,-69.153,-18.22,52.99,1.61,15.85,8.78,0.11,4.89,7.54,4.25,2.49,0.69,,0.7,99.2,15,236,22,1769,46,21,25.4,119,64,50,45,63,202,1783,,6.7,63.4,80.4,9.5,3.3
Quaternary,Arequipa,andesite,Chile,,,-69.25,-18.22,62.6,0.89,15.89,5,0.07,2.01,4.19,4.13,3.31,0.34,,,98.43,7,203,14,862,96,,22.3,95,38,29,25,31,94,1235,5.5,7.2,41.4,61.6,5.8,2.6
Quaternary,Arequipa,andesite,Chile,,,-69.153,-18.22,53.14,1.61,15.86,8.65,0.11,5.01,7.5,4.22,2.52,0.78,,0.36,99.4,15,248,24,1917,47,,24,134,63,61,26,60,189,1829,,,,79.9,,
Quaternary,Arequipa,andesite,Chile,,,-69.162,-18.221,53.13,1.63,15.97,8.79,0.11,4.98,7.64,4.18,2.5,0.77,,0.05,99.7,16,242,24,1862,48,18,25,127,82,53,27,64,198,1793,,,,77.6,,
Quaternary,Arequipa,andesite,Chile,,,-69.152,-18.221,56.55,1.4,16.36,2.46,0.14,4.05,6.39,4.11,2.24,0.42,,0.4,99.51,13,200,20,821,59,,23,107,68,48,25,92,171,872,,,,41.1,,
