Geologycal_age,Domain,Rock_type,Country,Age  (Ma),error (Ma),Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb
Quaternary,Arequipa,andesite,Peru,,,-70.846,-16.608,59.55,0.98,16.8,6.15,0.08,2.58,5.31,4.58,2.65,0.4,,,99.05,6.5,,12.5,1035.5,59.5,18,22.5,91.5,63,35,20.5,41.5,159.5,1157.5,12,6,38.5,82.8,6.4,2.7
Quaternary,Arequipa,dacite,Peru,,,-70.85,-16.608,63.25,0.58,16.6,3.94,0.06,1.83,4.06,4.48,2.7,0.19,,,97.67,5.5,136.5,10,767,64,13,19.5,41.5,51.5,16.5,53.5,15.5,95,1050,8,6.5,33,76.7,5.1,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.85,-16.608,63.3,0.6,16.2,4.09,0.06,1.85,3.88,4.37,2.76,0.2,,,97.29,4.5,143.5,9,718.5,66,16,20.5,44,55.5,17.5,51,15.5,97.5,1064,9,6.1,29.2,79.8,4.8,2.5
Quaternary,Arequipa,andesite,Peru,,,-70.85,-16.608,63.85,0.65,16.45,4.28,0.06,1.93,4.16,4.5,2.78,0.22,,,98.86,4.5,,8,755,62.5,17.5,20.5,69.5,38,20,12.5,19.5,104,1085,12.5,6.4,36.6,94.4,5.7,2.6
Quaternary,Arequipa,andesite,Peru,,,-70.842,-16.608,65.25,0.57,16.3,3.99,0.06,1.68,3.78,4.52,2.78,0.18,,,99.1,5,139.5,9,728,65,22,21,60.5,18,18.5,9,12.5,93.5,995,7,6.4,35.5,80.9,5.6,2.8
Quaternary,Arequipa,andesite,Peru,,,-70.842,-16.608,55.8,0.61,15.7,4.87,0.07,2.79,4.28,1.7,2.79,0.19,,,88.8,7,162,12,602,79,16,19,69,23,15,16,30,237,794,10,7,25.7,50.2,3.7,2.3
Quaternary,Arequipa,dacite,Peru,,,-70.808,-16.642,64.6,0.57,16.35,3.88,0.06,1.67,3.81,4.49,2.78,0.19,,,98.38,5,131,8,725.5,66.5,21,19,63,34,17.5,10.5,11.5,88.5,1004,8,6.5,29.8,90.7,4.6,2.6
Quaternary,Arequipa,dacite,Peru,,,-70.808,-16.642,64.4,0.54,16.15,3.67,0.06,1.54,3.84,4.51,2.73,0.18,,,97.6,5,125,10,728,63.5,17.5,19.5,56,52.5,18,9.5,10,82,965.5,9,6.5,33,72.8,5.1,2.4
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,63,0.58,16,4.01,0.06,1.77,3.97,4.46,2.73,0.19,,,96.77,2,141,8,704,67,14,19,61,41,17,12,16,97,1033,7,6.3,30.7,88,4.9,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,63.1,0.58,16.2,4.09,0.06,1.83,4.01,4.45,2.7,0.19,,,97.21,5,143,9,724,66,18,22,61,53,18,13,18,105,1047,8,6.6,34.6,80.4,5.2,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,63.3,0.59,16.3,4.12,0.06,1.88,4.05,4.48,2.71,0.2,,,97.69,3,143,10,734,67,14,20,61,61,19,11,21,99,1039,8,6.3,31.7,73.4,5,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,63.45,0.58,16.2,4.01,0.06,1.82,4,4.54,2.72,0.19,,,97.57,4,140.5,9.5,723.5,66.5,15.5,20.5,60,64.5,16,13.5,16.5,94.5,1047.5,8.5,6.7,34.2,76.2,5.1,2.5
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,63.2,0.59,16.4,4.1,0.06,1.9,4.16,4.49,2.67,0.19,,,97.77,3,137,8,740,64,14,20,59,66,18,13,19,95,1031,9,6.1,27.8,92.5,4.6,2.4
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,63.8,0.6,16.2,4.08,0.06,1.78,3.98,4.44,2.71,0.19,,,97.84,5,134,8,722,62,12,21,65,58,17,11,13,101,979,5,6.3,34,90.3,5.4,2.7
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,64.4,0.59,16.4,4.05,0.06,1.76,3.98,4.41,2.69,0.19,,,98.53,4,137,9,727,62,14,18,57,49,18,13,17,96,984,8,6.2,31.3,80.8,5.1,2.7
Quaternary,Arequipa,dacite,Peru,,,-70.967,-16.664,63.2,0.63,16.3,4.14,0.06,1.86,4.17,4.48,2.71,0.2,,,97.73,4,142,8,741,62,15.5,21.5,62.5,76,18,13,16,100.5,1019.5,9.5,6.5,35.4,92.6,5.5,2.6
