SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O_105G_C,LOI,PC,Li,Sc,V,Co,Cr,Ni,Cu,Mo,Zn,W,Rb,Sr,Y,Nb,Zr,Cs,Cd,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Lu,Yb,Hf,Ta,Pb,Th,U,Au,In,Sn,Ag,Ge,As,Bi,Tl,Be,Ga,S,Sb,B,87_86Sr,Sr_error,143_144Nd,Nd_error,206_204Pb,206Pb_error,207_204Pb,207Pb_error,208_204Pb,208Pb_error,18O,edad_geol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8747,,15.6942,,38.7636,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.885,,15.6726,,38.7069,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8928,,15.6726,,38.7227,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9126,,15.689,,38.7835,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9211,,15.6951,,38.8118,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9325,,15.7025,,38.8548,,,AlbianoSuperior
,,,,,,,,,,,,,,10,5,38,3.2,240,8,5,3,8,13,26.6,498,8.1,3,63.1,0.7,0.2,446,19.7,33.5,4.1,13.7,2.2,0.7,1.9,0.3,1.3,0.3,0.8,0.1,0.1,0.9,2,0.5,5,3.5,0.4,,0.2,1,1,2,30,0.1,0.5,5,14,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,20,31,259,29.3,130,31,168,2,70,6,45.8,297,19.9,2,53.5,0.7,0.2,458,15.2,30.5,4.1,16.4,3.6,1,3.8,0.6,3.4,0.8,2.1,0.3,0.3,2.2,2,0.5,8,6.5,1.3,,0.2,1,1,2,30,0.1,0.5,5,17,,,,,,,,,,,,,,,Cretacicoinferior
63.9,0.6,14.9,4.96,,0.2,4.9,2.5,3,2.9,,0.3,,,,,103,9.1,,37,8,8,20,20,86.7,391,13.8,5,98.7,2,,915,18,33.6,3.8,15.7,3,1,2.6,0.4,2.5,0.5,1.6,0.2,0.3,1.8,3,0.5,,7.8,1.8,,,1,1,,,,0.5,,12,,,,,,,,,,,,,,,Cretacicoinferior
65.3,0.4,15.3,4.26,2,0.1,1.8,4.2,3,3.3,0.1,,,,,,115,15.5,,,95,,50,59,129.5,358,14,5,102.5,3.6,,711,21,43,4.9,19,3.4,0.8,3,0.5,2.3,0.5,1.6,0.2,0.3,1.6,3,2.5,,10,3.5,,,,3,,,,,,16,,,,,,,,,,,,,,,Cretacicoinferior
64,0.4,17.3,1,2.5,0.1,2.5,8.2,3.6,0.3,0.2,,,,10,11,124,5.4,130,5,5,2,28,7,5.1,522,13.1,2,59.1,0.1,0.2,104,11.2,23.2,3.2,12.9,2.8,0.8,2.7,0.4,2.1,0.5,1.4,0.2,0.2,1.5,2,0.5,5,3.1,0.6,,0.2,1,1,1,30,0.1,0.5,5,14,,,,,,,,,,,,,,,Cretacicoinferior
60.5,0.7,15.1,4.37,,0.1,5.2,7.1,4.2,0.5,,0.7,,1.2,,,186,7.3,,16,74,4,25,2,13.8,381,22.3,4,80.7,4.9,,144,19.6,41.9,5.1,23.2,5.1,1.5,4.5,0.7,4.3,0.9,2.8,0.4,0.3,2.5,3,0.5,,5.6,2.3,,,2,1,,,,0.5,,16,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,10,9,82,9.2,190,10,16,3,58,10,72.6,410,14.1,5,43.4,1.5,0.2,775,14.5,25.5,3.3,12.8,2.6,0.8,2.6,0.4,2.3,0.5,1.4,0.2,0.3,1.6,1,0.5,12,4.2,1.1,,0.2,1,1,2,30,0.2,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
53.5,0.9,17,8.7,,0.2,4.2,6.9,3.5,2.9,,0.2,,1.4,,,230,21.3,,27,91,5,49,2,94.3,498,17.8,6,86.5,3.5,,426,19.5,40,4.9,22,4.2,1.1,3.7,0.6,3.1,0.7,2.1,0.3,0.2,1.9,3,0.5,,8.5,2.4,,,2,1,,,,0.5,,16,,,,,,,,,,,,,,,Cretacicoinferior
58.6,0.8,17.4,2.1,5.2,0.2,3.3,7.6,3.1,1.6,0.2,,,,30,20,181,20.8,170,14,42,3,77,11,60.9,585,19.2,3,81.6,3.2,0.2,663,21.2,40.2,5.4,20.6,4.3,1.3,4.3,0.7,3.6,0.7,2.1,0.3,0.3,2.1,2,0.5,10,6.3,1.5,,0.2,4,1,2,30,0.1,0.5,5,20,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,10,26,200,18.7,150,15,28,2,91,9,65.8,348,18.4,3,53.1,1.7,0.2,484,12.8,25.2,3.6,14.4,3.1,0.9,3.4,0.6,3.1,0.7,2.1,0.3,0.3,2.2,1,0.5,10,7.9,1.4,,0.2,1,1,2,30,0.1,0.5,5,16,,,,,,,,,,,,,,,Cretacicoinferior
57.2,0.7,16.4,8.15,,0.1,3.3,3.9,8.4,0.5,,0.3,,0.7,,,200,4.3,,27,13,2,14,2,13.7,127,19.1,3,54.5,0.2,,48.7,65,101,11.1,42.2,5.8,1.4,4.7,0.7,3.3,0.7,2.1,0.3,0.3,2.1,2,0.5,,5.8,2.1,,,2,1,,,,0.5,,17,,,,,,,,,,,,,,,Cretacicoinferior
60.5,0.7,15,2.48,,0.1,4,10.7,3.9,0.4,,0.2,0.6,,,,199,5.6,,24,18,5,10,5,9.8,466,15.9,4,69.1,0.8,,150,14.8,39.8,5.1,22.2,4.2,1.1,3.3,0.5,2.8,0.6,1.7,0.3,0.2,1.8,2,0.5,,10.2,4.1,,,2,1,,,,0.5,,17,,,,,,,,,,,,,,,Cretacicoinferior
60,0.8,17.3,2.5,5.3,0.2,3,6,3.3,1.5,0.1,,,,10,27,189,17.2,140,20,17,3,89,9,47,304,22.2,2,81.9,1.9,0.2,360,14.8,30.1,4.3,17.6,3.9,1,4.4,0.7,3.8,0.9,2.4,0.4,0.4,2.5,2,0.5,8,7.4,1.6,,0.2,1,1,2,30,0.1,0.5,5,17,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,10,26,183,15.6,150,21,30,2,78,1,37.7,300,23.1,2,64.3,1,0.2,339,17.7,36.3,5,19.5,4.1,1,4.3,0.7,3.9,0.9,2.5,0.4,0.4,2.5,2,0.6,6,12.9,3.4,,0.2,1,1,2,30,0.1,0.5,5,16,,,,,,,,,,,,,,,Cretacicoinferior
60.5,0.7,15.5,7.24,,0.2,3.5,6.3,2.9,2.3,,0.2,0.6,,,,194,19.1,,25,109,5,48,2,79.2,471,15.7,4,63.6,3.7,,562,17.9,35.7,4.2,18.8,3.7,1.1,3.3,0.5,2.8,0.6,1.9,0.3,0.2,1.9,2,0.5,,8.6,2.4,,,1,1,,,,0.5,,16,,,,,,,,,,,,,,,Cretacicoinferior
60.4,0.8,15.8,8.39,,0.1,2.9,1.3,4.7,3.5,,0.3,,1.7,,,145,10.7,,12,13,3,18,3,58.8,80.9,12.5,4,63.4,0.5,,1090,8,17.5,1.9,7.9,1.8,0.5,1.8,0.3,2.1,0.4,1.5,0.2,0.2,1.6,2,0.5,,6.4,1.4,,,1,1,,,,0.5,,14,,,,,,,,,,,,,,,Cretacicoinferior
59.1,0.8,17.3,1.6,5.6,0.2,3.1,5.9,3.8,1.6,1,,,,10,22,161,16.9,310,19,32,5,82,13,52.7,280,22.9,3,85.3,2,0.2,519,17.1,35.2,5,20.2,4.4,1,4.8,0.7,4,0.9,2.6,0.4,0.3,2.5,2,0.5,15,11,2.1,,0.2,1,1,2,30,0.1,0.5,5,17,,,,,,,,,,,,,,,Cretacicoinferior
60.1,0.9,15,8.59,,0.3,4.5,7.1,2.5,1.8,,0.1,0.5,,,,115,10.7,,14,206,4,223,1,134,312,18.3,6,118,2.3,,741,25.8,52.3,6.7,26.1,5.3,1.3,4.4,0.7,3.6,0.7,2.2,0.3,0.5,2.2,4,0.5,17,11.1,3.5,,,1,1,,,,0.5,,14,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,10,27,227,22.4,130,18,107,2,88,1,62.9,382,20.1,2,94.8,3.2,0.2,685,18.5,37.2,5.2,21.4,4.8,1.1,4.4,0.7,3.5,0.7,2.1,0.3,0.4,2.1,3,0.5,10,10.5,2.2,,0.2,1,1,2,30,0.1,0.5,5,17,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,10,11,79,8.6,190,11,5,2,60,7,43.9,163,12.8,2,76.2,0.9,0.2,289,13.6,25.5,3.6,13.8,2.6,0.8,2.7,0.4,2.1,0.4,1.3,0.2,0.2,1.5,2,0.5,6,3.7,0.9,,0.2,1,1,1,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
66.6,0.6,14.1,2.35,2.4,0.1,4.5,2.3,3.1,3.8,0.2,,,,10,10,87,8.7,272,24,35,3,21,2,114.6,312.7,14.6,5,84.1,3.1,0.2,755.7,14.2,30.8,4,15.8,3.2,0.9,2.9,0.4,2.6,0.5,1.7,0.2,0.3,1.7,3,0.5,8,14.6,3,,0.2,2,1,1,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
63.4,0.7,15.2,3.26,3.5,0.2,4.9,2.8,3.5,2.5,,0.2,1.7,,17,19,144,14,15,13,26,3,116,1,81,337.5,21.2,5,146.6,5.6,0.2,573.7,20.2,42.3,5.3,21.9,4.7,1.1,3.9,0.7,4,0.8,2.4,0.3,0.3,2.3,4,0.5,51,7.2,1.8,,0.2,7,1,2,32,0.2,1.1,5,16,,,,,,,,,,,,,,,Cretacicoinferior
57.8,1,14.3,8.98,,0.2,7.3,3.6,2.9,2.3,,0.1,,,,,204,20.2,,28,112,6,62,2,97.9,401,22.5,5,150,3.9,,777,30,58.4,7.6,33.1,6.9,1.7,5.8,0.8,4.6,0.9,2.7,0.4,0.4,2.4,5,0.5,,14.5,3.2,,,2,1,,,,0.5,,15,,,,,,,,,,,,,,,Cretacicoinferior
64.7,0.7,15.3,2.39,3.3,0.2,4.1,2.1,3.7,3.3,0.3,,,,10,12,77,9.9,176,26,36,4,61,2,136.5,286,25,7,130.3,3.9,0.2,685.6,25.2,53.7,6.9,26.7,5.6,1.2,5.3,0.8,4.5,0.9,2.9,0.4,0.4,2.6,5,0.5,16,14.4,3.5,,0.2,2,1,1,30,0.3,0.9,5,18,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,25,20,216,6,14,13,6,3,25,1,9.5,402.2,26.8,4,68.7,1.8,0.2,150.3,14.1,41.8,7,34.4,8.4,1.2,6.2,1,5.8,1.1,3.3,0.5,0.5,3.1,3,0.5,5,8.9,2.5,,0.2,9,1,2,30,0.1,0.5,5,17,,,,,,,,,,,,,,,Cretacicoinferior
55.1,1,16.2,5.08,5.2,0.2,7.7,4.7,3.3,1.1,0.3,,,,10,26,217,25.2,107,31,166,3,55,1,69.6,431.2,18.7,3,128.1,5.5,0.2,420.5,20.9,44.8,5.9,23.4,5.1,1.3,4.7,0.6,3.5,0.7,2.1,0.3,0.3,1.9,4,0.5,10,9.8,2.8,,0.2,1,1,1,30,0.1,0.5,5,20,,,,,,,,,,,,,,,Cretacicoinferior
63.3,0.7,16.9,1.98,3,0.2,5,1.8,3.7,3.2,0.3,,,,18,12,67,11,190,5,44,4,49,3,151.2,359.9,23.4,5,83.9,14,0.2,670.6,23.5,49.1,6.3,24.4,5.2,1.1,4.7,0.7,4.3,0.9,2.6,0.4,0.4,2.3,3,0.5,18,22.5,6.6,,0.2,1,1,1,30,0.1,0.7,5,17,,,,,,,,,,,,,,,Cretacicoinferior
66.6,0.4,14.9,1.02,3.7,0.1,2.7,5.7,3.1,1.7,,0.2,1.5,,16,15,111,13.1,36,22,23,4,54,1,85.3,378.6,18.3,5,59.2,4.4,0.2,522,20.9,43.2,5.1,19.3,3.8,0.8,3.2,0.6,3.3,0.7,2.1,0.3,0.4,2.1,2,0.5,9,9.1,1.3,,0.2,9,1,2,30,0.1,0.6,5,16,,,,,,,,,,,,,,,Cretacicoinferior
68.3,0.4,14.1,1.64,3.5,0.2,2.3,4.6,3.1,1.9,,0.1,0.4,,18,14,111,11.6,30,13,20,3,55,1,69.1,290.8,19.7,4,61.4,3.1,0.2,501,20.4,41.3,4.7,18.1,3.6,0.9,3.2,0.6,3.4,0.7,2.2,0.3,0.4,2.3,2,0.5,8,7.1,1.1,,0.2,3,1,2,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
63.2,0.6,15.2,6.49,,0.2,3.1,6.6,3.3,1.9,,0.2,0.2,,,,84,10,,17,5,3,57,1,62.9,378,17,4,102,3.9,,487,8.3,19.2,2.8,12.6,3,0.9,2.9,0.5,3.1,0.6,1.9,0.3,0.3,1.8,4,0.5,7,3.4,1,,,1,1,,,,0.5,,14,,,,,,,,,,,,,,,Cretacicoinferior
63.4,0.5,16.1,5.85,,0.2,2.9,6.2,3.4,1.9,,0.1,1,,,,91,12.2,,26,40,5,52,1,61.2,408,16.8,4,70.4,3.8,,608,14,29.5,3.9,16.3,3.5,0.9,3.3,0.6,3.1,0.6,1.9,0.3,0.3,1.8,3,0.5,10,4.2,1.1,,,1,1,,,,0.5,,15,,,,,,,,,,,,,,,Cretacicoinferior
62.1,0.7,16,7.04,,0.1,3.5,6.5,3.1,1.4,,0.3,1.3,,,,100,14,,22,5,4,23,1,52,452,15.6,4,79.2,3.5,,345,14.5,30.5,3.8,14.9,3.4,1,2.8,0.5,2.9,0.6,1.7,0.3,0.3,1.7,3,0.5,10,5.2,1.7,,,1,1,,,,0.5,,15,,,,,,,,,,,,,,,Cretacicoinferior
72.5,0.2,14.6,0.64,1.9,0.1,1.2,3.9,3.4,1.6,,0.3,0.1,,24,9,68,7.2,24,19,5,2,51,1,63.2,442.5,10.7,6,50.2,3.1,0.2,674.7,10.1,19.5,2.4,9.7,2.2,0.8,2,0.3,1.9,0.4,1.1,0.2,0.2,1.1,2,0.5,9,4,0.8,,0.2,8,1,1,30,0.1,0.5,5,16,,,,,,,,,,,,,,,Cretacicoinferior
57.1,1,15.7,11,,0.1,4.9,2.4,3.6,2.7,,0.1,,1.4,,,169,10.4,,21,14,4,7,2,49.5,207,22.7,4,74.4,1.6,,524,13.1,27.3,3.5,14.4,3.4,1,3.5,0.6,4.1,0.8,2.6,0.4,0.4,2.6,3,0.5,,3.9,0.9,,,1,1,,,,0.5,,14,,,,,,,,,,,,,,,Cretacicoinferior
54.7,1.2,15.4,11.6,,0.2,4.9,6.9,2.7,1.2,,0.1,,0.5,,,213,21.9,,21,38,4,32,1,49.5,297,33.4,9,133,1.6,,376,27.9,64.2,8.1,32.9,6.7,1.5,6.5,1,6.1,1.2,3.7,0.5,0.5,3.7,3,0.6,,4.4,0.9,,,2,1,,,,0.5,,17,,,,,,,,,,,,,,,Cretacicoinferior
52.8,0.9,15.6,9.01,,0.2,6,7,2.7,1.6,,0.9,,2.5,,,205,28.3,,34,117,4,72,1,79.5,305,20.3,4,102,7.4,,391,15.2,31.8,3.9,16.2,3.7,1,3.7,0.6,3.7,0.7,2.3,0.3,0.3,2.2,3,0.5,,9.2,2.8,,,2,1,,,,0.5,,16,,,,,,,,,,,,,,,Cretacicoinferior
70.3,0.3,15.1,1.05,2.2,0.1,1.4,4.7,3.7,1.2,,0.1,0.4,,17,7,75,9.7,19,12,5,4,39,1,55.7,378.6,8.6,5,70.8,3,0.2,570.8,8.9,18.4,2.3,9.3,1.8,0.7,1.7,0.3,1.4,0.3,1,0.1,0.2,0.9,3,0.5,8,1.8,0.7,,0.2,5,1,1,30,0.1,0.5,5,16,,,,,,,,,,,,,,,Cretacicoinferior
70.8,0.3,14.3,1.17,2.4,0.1,4.4,1.4,3.4,1.4,0.3,,,,26,9,50,8.2,216,26,6,3,40,1,70,374,16.9,7,62.9,4.1,0.2,622.3,23.2,48.5,5.7,21.3,4.2,1,3.8,0.6,3.1,0.7,1.9,0.3,0.3,1.7,2,0.5,10,6.7,1,,0.2,1,1,1,30,0.1,0.5,5,20,,,,,,,,,,,,,,,Cretacicoinferior
60.4,0.6,14,7.15,,0.2,3.1,5.5,2.7,2.3,,0.2,,1.5,,,165,17.9,,21,35,5,56,1,111,412,21.3,5,69.6,6.3,,541,20.7,43.1,5.5,23,4.8,1.1,4.2,0.7,3.9,0.7,2.4,0.3,0.3,2.5,3,0.5,,10.5,3.5,,,2,1,,,,0.5,,16,,,,,,,,,,,,,,,Cretacicoinferior
63.6,0.8,14.3,2.73,4.8,0.2,3.9,5.9,2.8,0.9,,0.2,0.9,,10,26,204,16.8,28,19,11,3,26,1,26,354,26.8,5,113.8,1.8,0.2,305.3,14.6,32.9,4.4,18.6,4.5,0.9,4.2,0.8,4.8,1,3.1,0.4,0.5,3,4,0.5,5,4.2,0.9,,0.2,5,1,2,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
54.1,1,17.9,3.07,6.7,0.2,5.3,8.8,2.7,0.3,,0.2,0.8,,10,30,295,25,10,18,42,2,56,1,2.9,462.5,15.9,2,27.8,0.1,0.2,60.8,7.5,16.6,2.3,10.4,2.7,1,2.7,0.5,3,0.6,1.9,0.2,0.3,1.7,1,0.5,5,0.9,0.3,,0.2,1,1,2,30,0.2,0.5,5,17,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,20,21,173,15.9,110,15,44,2,30,7,56.1,307,24.1,4,120,1,0.2,366,8.8,21.1,3.2,14.3,3.9,0.9,3.9,0.7,4.5,0.9,2.9,0.4,0.4,2.9,3,0.5,5,3.4,1.4,,0.2,1,1,2,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
64.7,0.6,14.4,1.98,3.6,0.1,6.1,3.5,3.4,1.5,0.2,,,,18,14,101,14.3,80,33,16,2,57,1,54.7,358.9,13.4,4,40.3,4.1,0.2,381.2,13,27.3,3.6,14,2.9,0.8,2.9,0.4,2.5,0.5,1.6,0.2,0.2,1.4,1,0.5,9,5.2,1.2,,0.2,1,1,1,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
56,0.8,17.8,4.93,4.4,0.1,6.4,5.1,3,1.3,0.2,,,,18,22,192,20.3,58,17,78,2,23,1,57.1,452.1,16.6,2,43.8,5.5,0.2,222.5,10.3,21.7,3,13,3.1,1,3.3,0.5,3,0.6,2.1,0.3,0.3,1.8,2,0.5,5,1.6,0.4,,0.2,1,1,1,30,0.1,0.5,5,20,,,,,,,,,,,,,,,Cretacicoinferior
64.9,0.6,15.2,1.95,2.4,0.1,5.9,3,4.7,0.9,0.2,,,,13,10,84,4.8,115,24,9,2,27,1,35.1,282.1,11.7,4,55.1,1.5,0.2,321.1,18.1,34.6,4,14.6,2.6,0.7,2.3,0.4,2.1,0.4,1.4,0.2,0.2,1.3,2,0.5,8,7.1,1.5,,0.2,1,1,1,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
62.3,0.7,16.3,2.51,3,0.1,6.4,3.8,3.7,1.1,0.1,,,,16,16,115,15.5,133,30,34,2,39,1,49.1,426.3,15.1,3,68.9,3.1,0.2,284,12.5,26.1,3.5,14.1,3,0.9,3,0.5,2.6,0.6,1.8,0.2,0.2,1.5,2,0.5,8,4.6,1.1,,0.2,1,1,1,30,0.1,0.5,5,18,,,,,,,,,,,,,,,Cretacicoinferior
71.8,0.4,13.1,1.62,2,0.1,3.1,1.7,3.1,2.8,0.1,,,,10,6,43,5.2,290,10,19,3,22,1,73.8,197.7,10.8,4,48.3,0.9,0.2,554.6,19.7,35.5,3.8,12.7,2.1,0.5,1.9,0.3,1.6,0.4,1.2,0.2,0.2,1.3,2,0.5,9,9.5,2,,0.2,1,1,1,30,0.1,0.5,5,14,,,,,,,,,,,,,,,Cretacicoinferior
57.1,0.7,16.7,2.24,6.4,0.2,4.9,4.7,3.2,3.9,,0.2,6.1,,21,22,200,12.8,14,17,5,2,87,1,89.8,50.1,18.6,3,68,2.7,0.2,902,20.3,37.8,4.5,18,3.6,1.2,3.5,0.6,3.5,0.7,2.2,0.3,0.3,2,2,0.5,5,3.3,0.9,,0.2,1,1,1,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
65.7,0.5,13.5,2.46,3.6,0.2,2.9,5.2,3.1,1.2,0.1,0.2,,1.1,10,13,104,11.4,145,11,16,3,31,1,29.4,280.6,12.9,3,65.4,1.1,0.2,446.5,12.6,24.4,3,11.2,2.3,0.7,2.4,0.4,2.3,0.5,1.6,0.2,0.3,1.5,2,0.5,6,5.2,1.4,,0.2,1,1,1,30,0.1,0.5,5,14,,,,,,,,,,,,,,,Cretacicoinferior
65.9,0.6,14.8,2.32,2.9,0.1,5.3,2.9,3,2.2,,0.3,0.3,,11,15,103,11.4,33,16,9,5,33,1,62.6,401.4,20.1,5,92.1,1.8,0.2,841.7,11.8,26.3,3.6,15.5,3.7,0.9,3.3,0.6,3.7,0.7,2.2,0.3,0.3,2.2,3,0.5,5,4.8,1.2,,0.2,5,1,2,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
62.2,0.8,16,2.24,3.4,0.1,4.9,2.3,3.1,2.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cretacicoinferior
62.8,0.7,14.2,1.71,5,0.2,5.5,3,3.2,2,0.2,,,,25,20,152,16.3,119,18,97,2,69,1,91.8,345.2,24.5,5,56.6,7.4,0.2,506.3,20,41.4,5.3,21.4,4.7,1,4.7,0.7,4.4,1,3,0.4,0.4,2.6,2,0.5,9,11,1.8,,0.2,1,1,2,30,0.2,0.6,5,19,,,,,,,,,,,,,,,Cretacicoinferior
61.1,0.9,15.8,2.59,2.8,0.1,5.8,2.8,3.3,3.2,0.2,,,,13,15,110,17,201,34,125,3,40,3,124.5,199.5,23,7,161.3,7.8,0.2,512.3,22.2,45.9,5.8,22.3,4.6,0.8,4.5,0.7,4.1,0.9,2.6,0.4,0.4,2.3,5,0.5,14,21.2,5.6,,0.2,2,1,1,30,0.1,0.5,5,15,,,,,,,,,,,,,,,Cretacicoinferior
58.2,0.9,17,2.55,3.5,0.1,6.6,2.6,3.5,2.8,0.4,,,,11,19,129,21.7,170,26,111,4,46,2,139.5,225.5,32.4,9,201,4,0.2,558,32.4,68.7,8.8,34,7,1.2,6.7,1,6,1.2,3.9,0.5,0.5,3.2,7,0.6,10,23.6,6.6,,0.2,3,1,2,30,0.1,0.5,5,18,,,,,,,,,,,,,,,Cretacicoinferior
66.3,0.9,14,1.66,3.3,0.1,3.8,1.9,2.8,4.2,0.2,,,,22,13,88,11.5,258,21,96,5,44,4,194.1,217,27.5,8,197.7,14.4,0.2,804.7,27,56.7,7.2,27.9,5.8,0.9,5.5,0.8,5,1,3.3,0.5,0.5,2.9,7,0.6,20,19.6,5.9,,0.2,2,1,1,30,0.1,0.9,5,16,,,,,,,,,,,,,,,Cretacicoinferior
68.7,0.7,12.2,1.74,2.4,0.1,3.7,1.7,3,4.1,0.2,,,,23,11,71,10.3,142,20,62,4,50,3,166,195,23.6,6,133.6,12.6,0.2,638.3,22.8,48.1,6.1,23.8,5,0.8,4.7,0.7,4.2,0.9,2.8,0.4,0.4,2.4,5,0.5,15,20.6,5.7,,0.2,2,1,1,30,0.1,0.9,5,14,,,,,,,,,,,,,,,Cretacicoinferior
55.3,1.4,16.6,8.96,,0.1,2.1,3.9,4.3,3.6,,0.3,,,,,173,11.8,,19,275,3,23,1,99.5,107,44.3,7,239,1.7,,1380,39.9,79.6,10,44,8.9,1.5,8.5,1.3,7.7,1.5,4.6,0.7,0.6,4.3,7,0.5,,18.7,4.6,,,1,1,,,,0.5,,15,,,,,,,,,,,,,,,Cretacicoinferior
53.3,0.8,17.6,0.43,2,0.1,15,5.5,3.5,0.2,0.2,,,,10,21,164,6.2,58,26,13,2,15,1,2.8,474,16.9,3,21.1,0.3,0.2,110,7.2,24.3,4.6,21.6,5.1,1.1,4.5,0.6,3.6,0.7,2.3,0.3,0.3,1.9,1,0.5,5,2.6,0.8,,0.2,1,1,1,30,0.1,0.5,5,20,,,,,,,,,,,,,,,Cretacicoinferior
58.9,0.7,16.2,3.1,3.5,0.2,6.7,3.5,3.1,1.8,0.1,,,,20,17,125,20.1,145,28,50,2,65,1,57.9,376.4,17.4,3,53,2.7,0.2,433.7,14.2,29.6,4,15.8,3.6,0.9,3.6,0.5,3,0.6,2.1,0.3,0.3,1.9,2,0.5,7,5.5,1.9,,0.2,1,1,1,30,0.1,0.5,5,18,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,21.9,23.4,258.2,16.5,55.7,30.4,27.4,4.1,42.3,,42.1,320.1,14.9,4.2,66.1,0.8,0.2,153.2,19.9,26.9,4,15.9,4,1.1,4.1,0.7,3.9,0.7,2.2,0.3,0.3,2,1.9,0.7,12.2,3.2,1,,,0.5,0.6,,52.2,,0.2,0.9,17.8,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,1.9,1.5,88.3,2.2,270.9,4,91.6,8.1,24.1,,12.2,60.4,1,1.5,0.5,0.4,0.1,92.2,6.7,2.7,0.5,1.5,0.2,0.1,0.3,0,0.2,,0.1,,,0.1,,,20.3,0.3,1.1,,,,0.4,,92.7,1,0.1,0.1,3.7,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,,69,,6.9,,,61,8,350,6.6,31.4,222.6,37.9,1,120.6,1.8,0.4,354.9,11,29.5,,,,,,1.1,,,,,0.9,5,5,,6,4,3,,,10,,,,0.2,1.1,,14,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,,75.2,,34.8,,,133,5,36,3.9,14.3,136,26.8,,51.9,1.9,0.4,,4.9,18.1,,,,,,0.8,,,,,0.6,3.5,2,0.7,,1.9,1.5,,,15,,,86,,,,13,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,,79.3,,32,,15,162,8,200,10,11.2,438.5,23.4,,133.3,2.3,0.3,,9.3,19.8,,,,,,0.7,,,,,0.4,2.7,2,,14,2.1,1,,,6,,,,,,,14,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,,83.2,,30.6,,5,138,7,106,109.6,20.1,155.7,20.4,,41,1.5,0.8,236.4,2.5,15.5,,,,,,0.7,,,,,0.4,3,2,,,1.9,1,,0.2,7,,,71,1.1,0.7,,14,,,,,,,,,,,,,,,Cretacicoinferior
,,,,,,,,,,,,,,,87.4,,29.9,,27,37,20,73,18.1,4.3,59,18.1,,40.4,1.5,,,1.2,9.7,,,,,,0.5,,,,,0.4,2.4,2,,,0.9,0.5,,,4,,,,,,,14,,,,,,,,,,,,,,,Cretacicoinferior
