Ba,Ce,Cr,Cs,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Pr,Rb,Sm,Sn,Sr,Ta,Tb,Th,Tm,U,V,W,Y,Yb,Zr,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Total,Ag,As,Cd,Co,Cu,Li,Mo,Ni,Pb,Sc,Tl,Zn,AreaID
875,34.2,10,7.31,2.84,1.93,0.38,13.9,2.38,3.8,0.55,20.1,0.32,4.5,12.7,3.64,152.5,2.6,1,140,0.7,0.41,18.4,0.28,3.2,29,4,17.2,2.02,117,74.5,13,2.85,1.9,0.4,3.87,3.2,0.002,0.19,0.04,0.04,0.01,0.1,0.6,100.64,0.5,5,0.5,2,9,10,1,2,6,4,10,19,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,50.1,20,2.69,2.87,1.81,0.75,18,2.96,5.3,0.51,26.5,0.26,6.4,20.3,5.66,88.8,3.52,1,386,0.7,0.43,15.6,0.24,2.8,77,1,15.5,1.77,194,67.8,15.5,4.4,3.9,1.7,3.82,2.8,0.002,0.46,0.08,0.11,0.04,0.08,0.9,101.51,0.5,5,0.5,9,8,20,1,8,8,8,10,42,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,36.3,40,1.85,3.76,2.57,1.19,20.5,4.03,3,0.74,18.2,0.34,4.5,18.6,4.74,50.7,4.1,1,329,0.4,0.59,7.3,0.34,1.7,175,1,21,2.46,107,57.9,16.7,8.67,6.8,3.4,3.82,1.3,0.005,0.79,0.21,0.22,0.04,0.08,1.2,101.13,0.5,5,0.5,19,13,10,1,13,3,15,10,91,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,25.8,20,0.95,0.92,0.6,0.56,21.6,1.38,3.2,0.16,13.5,0.09,2.4,11.5,3.09,32.1,1.81,1,1020,0.3,0.18,2.8,0.07,1,54,1,5.4,0.48,116,68.2,16.8,3.23,3.8,1,5.58,1.5,0.002,0.34,0.06,0.13,0.12,0.09,0.6,101.44,0.5,5,0.5,6,6,20,1,8,3,3,10,39,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,27.1,100,1.06,2.67,1.39,1.29,24.2,3.4,1.9,0.46,11,0.12,3.1,18.6,3.98,23.6,3.91,1,1205,0.2,0.48,1.3,0.18,0.4,192,1,12.6,1.08,56,52.4,18.1,7.49,8.7,5.2,3.96,0.9,0.014,0.99,0.12,0.35,0.14,0.04,1.7,100.08,0.5,5,0.5,25,16,10,1,55,7,15,10,76,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.5,13.4,100,0.75,2.34,1.39,0.65,14.1,2.27,1.1,0.43,5.2,0.17,2,8.2,1.86,9.9,2,1,278,0.2,0.36,1,0.16,0.3,393,1,12.7,1.29,35,46.7,13.3,13,11.5,10.1,1.64,0.4,0.015,0.69,0.22,0.07,0.03,0.02,1.3,98.9,0.5,5,0.6,54,101,10,1,32,11,51,10,102,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,35.5,10,3.16,4.14,3.12,1.33,18.7,4.11,7.3,0.9,17.7,0.49,2.2,16.5,4.3,44,4.04,2,311,0.2,0.62,6.3,0.39,2.1,47,2,26.5,3.36,266,66.2,16.6,5.22,4.4,0.9,4.48,1.6,0.002,0.45,0.07,0.12,0.03,0.08,0.7,100.86,0.5,5,0.5,6,26,10,1,3,7,9,10,45,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,51.6,10,1.11,8.24,5.26,1.89,20.9,8.29,5.2,1.67,23,0.78,5.3,30.6,7.2,32.4,7.22,1,311,0.4,1.25,6,0.71,1.7,64,1,43.8,4.89,194,60.5,14.9,9.29,4.6,1.9,4.58,1.1,0.002,1.07,0.15,0.41,0.04,0.1,1.7,100.32,0.5,5,0.5,15,16,10,1,2,4,17,10,53,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.5,15.2,110,0.24,2.17,1.25,0.78,16.5,2.57,1.2,0.47,7,0.18,1,9.1,2.16,3,2.34,1,434,0.1,0.35,1.3,0.17,0.3,279,1,11.2,1.13,43,47.2,18.3,10.75,12.8,8.2,1.62,0.3,0.016,0.64,0.18,0.12,0.05,0.02,0.3,100.52,0.5,5,0.5,41,12,10,1,46,3,36,10,71,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,29.9,10,0.54,4.59,2.91,0.73,17.1,4.36,6.7,0.93,12.4,0.47,5.7,17.6,4.27,82.4,3.99,1,191,0.5,0.7,20.9,0.43,4.9,45,1,26.8,3.27,221,71.3,13.9,3.7,2.4,0.9,3.23,4.9,0.002,0.36,0.04,0.05,0.02,0.19,0.9,101.85,0.5,5,0.5,4,6,10,1,3,5,8,10,22,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,27.8,10,1.91,3.02,1.6,1.03,18.3,2.98,3.7,0.51,12.8,0.28,3.6,16.8,3.65,44.7,3.73,1,474,0.4,0.46,3.4,0.25,1.2,59,1,15.1,1.69,120,65.5,16.3,5.22,5,1.6,3.87,1.8,0.002,0.46,0.16,0.16,0.06,0.14,0.7,101.01,0.5,5,0.5,8,5,10,1,3,23,7,10,92,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,37.6,10,6.06,6.47,4.28,1.08,21.6,5.78,4.2,1.3,18.2,0.69,7.6,18.9,4.84,76,4.82,2,498,1,0.9,4.5,0.62,3.6,97,1,39.9,4.68,141,60.4,17.6,6.9,5.8,2.1,4.12,1.5,0.002,0.54,0.16,0.18,0.06,0.07,1.5,100.87,0.5,7,0.5,13,4,10,1,4,9,12,10,80,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,49.7,40,3.17,4.28,2.15,1.22,21.3,5.07,4.9,0.78,20.7,0.25,11.4,28.2,6.83,74.2,6.11,2,521,0.8,0.74,8.9,0.28,3,120,3,21,1.85,174,60.9,16.3,6.44,4.8,2.6,4.45,2.6,0.006,0.88,0.1,0.25,0.06,0.07,1.2,100.58,0.5,7,0.5,15,41,20,1,18,8,13,10,75,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,20.5,30,7.11,2.12,1.24,1.04,23.4,2.68,1,0.46,9,0.14,3.2,12.9,2.87,72.3,2.63,1,783,0.2,0.35,0.6,0.16,0.4,239,4,11.5,1.05,36,50.6,19.3,9.17,8.8,4.5,3.73,1,0.004,1.12,0.12,0.22,0.09,0.03,1.1,99.78,0.5,5,0.5,24,9,20,1,13,8,17,10,73,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,47.3,10,4.06,2.55,1.65,0.57,17.6,2.6,6.3,0.46,24.4,0.28,13,19.3,5.24,218,3.42,2,56,1.2,0.38,23,0.23,5,8,6,14.5,1.64,174,75,13.5,1.43,0.6,0.2,4.24,4.8,0.002,0.18,0.04,0.03,0.01,0.09,0.5,100.53,0.5,5,0.5,1,3,20,1,1,14,2,10,30,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,10.7,70,0.19,1.59,0.9,0.86,22.2,1.88,0.5,0.31,4.9,0.09,0.5,7.8,1.63,3,1.79,4,843,0.1,0.26,0.5,0.13,0.2,292,1,7.6,0.81,19,48.1,19.8,9.01,10.7,5.9,2.8,0.2,0.009,0.69,0.14,0.06,0.1,0.01,1.2,98.65,0.5,5,0.5,29,19,10,1,33,2,19,10,70,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486,41.2,80,7.66,4.55,2.8,1.19,19.7,4.51,4.6,0.86,19.3,0.36,5.9,22.2,5.13,80,5.21,2,357,0.6,0.66,8.3,0.39,2.2,209,2,23.6,2.51,154,56.1,16.7,8.07,7.1,4.1,2.96,1.9,0.01,0.79,0.13,0.16,0.04,0.05,0.6,98.65,0.5,7,0.5,21,56,20,1,21,14,22,10,78,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,49.1,10,3.33,3.63,2.08,1.2,18.9,3.95,3.4,0.65,23.3,0.29,4.6,24,5.89,53.6,4.9,2,559,0.3,0.54,10.6,0.29,2.9,209,1,18.2,2.06,118,57,17.6,7.65,7.3,3.3,3.23,1.7,0.002,0.63,0.12,0.16,0.07,0.05,1.2,100.04,0.5,5,0.5,15,70,10,1,8,8,18,10,50,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92.5,25.3,10,2.22,4.15,2.73,0.92,17.8,4,4.3,0.9,8.1,0.41,3.5,17.4,3.85,6.8,3.77,1,299,0.3,0.63,7.3,0.37,1.7,192,1,24.2,2.67,138,57.8,17,1.76,8.4,3,7.37,0.4,0.002,0.71,0.03,0.08,0.04,0.01,2.5,99.11,0.5,5,0.5,3,21,10,1,4,2,16,10,10,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,13.7,20,2.02,2.14,1.48,0.42,18.1,2.07,1.9,0.51,6.4,0.26,0.9,8.1,1.78,36,1.85,1,710,0.1,0.33,1.6,0.23,0.3,135,4,13.1,1.52,64,56.9,17.8,2.57,7.9,5.4,5.57,1.5,0.002,0.55,0.11,0.01,0.09,0.06,2,100.5,0.5,5,0.5,6,4,20,1,6,2,16,10,33,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,31.7,10,2.75,1.37,1,0.32,13.6,1.37,3.8,0.3,18.7,0.2,3.5,10.6,3.15,136,1.66,1,141,0.5,0.2,18.1,0.14,3.3,22,1,9,1.31,110,76,13.4,1.7,1.4,0.3,3.59,4.2,0.002,0.15,0.03,0.02,0.01,0.07,0.5,101.35,0.5,5,0.5,1,5,10,1,1,13,2,10,9,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,78.4,30,9.57,5.34,3.34,1.36,19.8,7.13,3.2,1.13,36.8,0.43,8.8,42.4,10.1,152.5,8.59,2,409,0.6,0.93,18.7,0.47,5.5,200,3,29.3,2.74,91,56.6,16.5,8.82,6.1,3.1,3.58,3.3,0.003,0.85,0.15,0.38,0.05,0.1,0.3,99.87,0.5,7,0.5,21,157,20,3,13,17,21,10,86,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,91.4,10,19.05,5.91,3.7,1.19,19.1,7.1,8,1.18,44.5,0.48,10.4,44.8,11.15,226,9,4,276,0.8,0.95,35.8,0.45,8.3,105,3,31.6,3.47,280,60.4,16,6.95,4.1,1.8,3.59,4.5,0.002,0.75,0.12,0.27,0.03,0.12,0.5,99.03,0.5,8,0.5,14,150,30,1,4,23,15,10,73,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,41.2,10,0.96,4.85,2.64,2.07,19.8,5.81,3.6,0.99,16.3,0.41,5.3,28.1,5.79,9.3,6.23,1,530,0.3,0.78,3.1,0.34,0.8,159,1,24.9,2.55,149,54.8,19.1,5.8,9.2,3.4,5.24,0.5,0.002,1.07,0.08,0.38,0.06,0.03,1,100.61,0.5,5,0.5,14,18,10,1,6,2,18,10,19,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,64.2,10,8.51,4.58,2.92,1.06,18.3,5.53,5.1,0.84,30.3,0.39,7.7,33,7.98,160.5,6.78,3,361,0.5,0.78,14.8,0.39,4.1,123,1,25,2.7,172,61.8,16.5,7.1,4.7,2.1,3.3,4.1,0.002,0.63,0.12,0.2,0.05,0.13,0.9,101.6,0.5,5,0.5,14,90,20,3,5,12,14,10,59,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,47.2,10,3.58,1.91,1.41,0.77,15.3,1.91,2.9,0.37,24.3,0.22,6.6,17.7,4.92,96.2,2.97,1,393,0.8,0.3,16.4,0.17,3.9,74,1,11.1,1.42,79,68.4,15.3,3.82,4.1,1.4,2.87,2.9,0.002,0.32,0.09,0.1,0.05,0.08,0.8,100.24,0.5,5,0.5,7,4,20,1,2,21,9,10,49,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,28.6,10,2.25,2,1.35,0.44,12.9,1.72,3.7,0.4,15.2,0.25,5.5,12.5,3.34,117.5,2.3,1,170,0.4,0.27,11.6,0.2,3,15,1,11.7,1.57,126,74,14.1,2.31,1.5,0.4,3.58,4,0.002,0.18,0.04,0.05,0.02,0.09,1.1,101.3,0.5,5,0.5,1,16,10,4,1,10,3,10,140,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,17.6,40,6.67,2.78,1.71,0.79,16.5,2.87,3.6,0.58,7.1,0.25,6.2,11.9,2.76,64.3,3.3,2,301,0.4,0.4,1.3,0.26,1,104,1,15.1,1.65,123,61.1,17,6.33,6,2.8,2.38,1.7,0.005,0.62,0.11,0.13,0.04,0.04,1.9,100.17,0.5,5,0.5,11,10,40,1,5,13,17,10,71,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,29,10,3.87,1.95,1.27,0.75,16.5,2.17,2.7,0.39,15.5,0.16,3.8,14.5,3.4,70,2.93,1,343,0.3,0.29,3.4,0.16,0.7,109,47,10.6,1.06,85,61.8,16.6,5.59,5.3,2.5,3.02,1.7,0.002,0.48,0.1,0.15,0.05,0.04,1.7,99.05,0.5,5,0.5,12,29,10,1,4,23,12,10,53,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,39.3,10,0.65,2.11,1.31,0.77,13.7,2.38,2.5,0.42,20.2,0.21,2.3,18.1,4.58,50.7,3.26,1,206,0.2,0.34,11,0.18,1.6,47,1,11.3,1.39,82,68.1,15.4,4.4,2.1,1.6,4.46,3,0.002,0.25,0.11,0.09,0.03,0.06,1.2,100.66,0.5,5,0.5,6,8,10,1,2,9,7,10,48,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,32.4,20,2.87,4.12,2.49,0.9,15.5,4.29,3.6,0.81,13.9,0.32,2.6,19.9,4.42,37.7,4.86,1,249,0.2,0.64,4,0.34,0.6,251,1,21.5,2.26,112,52.2,15.1,11.95,7.6,5.1,2.38,1.4,0.003,0.91,0.2,0.19,0.03,0.03,2.5,99.51,0.5,12,0.5,41,862,10,1,21,26,38,10,149,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,54.2,10,2.72,3.64,2.38,0.8,16.4,4.08,3.8,0.72,26.7,0.36,14,23.6,6.21,145.5,4.49,3,206,1.5,0.59,14.5,0.31,1.9,30,1,21.5,2.4,119,73.1,14.1,3.04,1.8,0.7,3.28,3.9,0.002,0.21,0.07,0.07,0.02,0.05,1.3,101.62,0.5,5,0.5,3,9,20,1,4,19,5,10,21,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,32.1,10,2.77,2.36,1.43,0.9,15.7,2.87,2.8,0.48,15.1,0.2,3.2,17.7,4.11,103,3.62,1,450,0.3,0.38,8.9,0.2,2.2,113,1,12.2,1.41,100,63,16.2,6,5.2,2.1,3.09,3.1,0.002,0.4,0.13,0.18,0.06,0.12,1,100.59,0.5,5,0.5,12,17,20,1,6,11,10,10,51,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,73.5,10,18.05,3.87,2.39,1.04,17.5,4.63,12.4,0.8,34.4,0.36,8.2,33.9,8.55,135,6.16,2,320,0.6,0.65,15.9,0.33,4.5,121,4,21.3,2.3,438,59.9,16.6,7.97,4.5,2.4,3.24,4,0.002,0.9,0.12,0.2,0.05,0.11,1.1,101.02,0.5,8,0.5,16,133,40,1,9,28,13,10,80,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,19.9,10,2.41,2.52,1.56,0.84,17.9,2.67,3.1,0.49,9.3,0.2,2.9,13,2.92,64.4,3.16,2,379,0.2,0.4,6.3,0.19,1.3,198,1,13.7,1.5,104,55.7,17.5,8.62,6.3,3.4,4.03,2.3,0.002,0.83,0.07,0.16,0.05,0.05,2.3,101.25,0.5,14,0.5,19,78,10,1,11,5,19,10,31,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.5,12.1,120,0.35,1.48,0.88,0.71,13.8,1.65,0.9,0.3,5.9,0.12,3.6,6.5,1.45,8.4,1.51,1,317,0.3,0.24,1,0.1,0.2,73,1,7.4,0.86,28,47.4,18.4,10.75,9.2,9.3,2.51,0.5,0.018,0.61,0.15,0.04,0.05,0.02,0.8,99.66,0.5,5,0.5,52,48,20,1,147,4,16,10,73,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,148.5,10,3.84,6.65,3.68,1.79,29.1,6.99,15.7,1.25,84.7,0.59,213,50.6,14.85,129,9.05,6,205,12.1,1,28.7,0.52,9.1,16,2,34.6,3.81,830,54.4,19.4,5.76,1.9,0.7,9.3,5.4,0.002,0.67,0.15,0.22,0.02,0.04,2.6,100.57,0.5,14,0.5,6,8,70,9,2,28,2,10,99,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,77.1,10,2.04,1,0.41,0.93,27.1,2.09,7.1,0.14,45.5,0.05,8.6,30.9,8.7,139,3.84,2,306,0.7,0.2,14,0.05,2,28,1,4.4,0.36,245,70.6,14.9,3.33,1.5,0.6,3.67,4.7,0.002,0.4,0.03,0.08,0.04,0.15,1.1,101.09,0.5,6,0.5,3,4,40,2,4,26,2,10,81,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,61.9,10,4.54,3.59,2.2,0.93,19,3.77,5,0.7,31.3,0.33,19.2,24.7,6.73,171,4.34,3,177,1.5,0.59,12.5,0.31,4.4,29,1,20.2,2.15,169,71.1,13.8,2.91,1.6,0.7,3.74,4.1,0.002,0.32,0.07,0.07,0.02,0.09,0.9,99.26,0.5,5,0.5,4,4,30,1,4,19,6,10,40,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,26.7,10,1.75,2.28,1.31,0.87,22.2,2.15,3.5,0.4,12.9,0.23,14.1,13.8,3.42,42.4,2.72,1,175,1,0.33,5,0.21,1.5,47,1,12.2,1.39,127,61.1,18.5,4.75,1.7,1,7.74,1.5,0.002,0.39,0.06,0.27,0.02,0.06,2,99.05,0.5,5,0.5,5,177,20,1,2,13,3,10,52,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,8.2,10,1.47,1.24,0.64,0.57,17.6,1.35,2.1,0.22,3.5,0.09,2.4,6.1,1.17,28.1,1.61,1,523,0.2,0.21,0.7,0.07,0.8,89,1,5.8,0.51,70,60.1,17.4,6.14,5.1,2.3,4.02,1.7,0.002,0.59,0.08,0.11,0.08,0.06,1.2,98.85,0.5,5,0.5,17,57,20,1,20,10,8,10,71,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,61.5,50,0.38,4.05,2.27,1.66,21.4,5.38,8.6,0.73,32.3,0.26,8.8,29.3,7,33.2,6.41,1,599,0.6,0.64,5,0.32,1.8,229,2,20.6,2.14,325,55.1,17.8,7.85,6.2,3.8,4.47,1.3,0.007,1.08,0.07,0.29,0.06,0.03,2.2,100.21,0.5,5,0.5,19,23,10,1,27,12,18,10,45,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,37.7,10,1.37,3.09,1.96,0.75,20.3,3.36,2.1,0.6,24.7,0.25,1.9,15.2,3.95,42.2,3.41,1,500,0.2,0.51,2.9,0.26,1.6,307,3,16.6,1.85,76,50.1,20.7,6.97,9.8,4.6,3.67,1,0.002,0.84,0.18,0.15,0.06,0.05,2.7,100.75,0.5,9,0.5,26,64,10,1,24,13,26,10,107,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,33.1,10,0.67,6.41,4.14,0.35,15.1,6,8.6,1.34,11.3,0.61,10.5,25.5,5.5,99.8,6.75,2,124,0.8,0.93,29.8,0.63,6.8,10,1,39.2,4.25,248,75.6,12.3,2.29,0.6,0.1,3.46,5.4,0.002,0.15,0.01,0.01,0.01,0.12,0.6,100.6,0.5,5,0.5,2,14,10,1,3,4,3,10,11,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,83.2,50,0.65,4.73,2.52,2.11,21.1,6.75,3.3,0.88,30.6,0.33,3.8,46.7,11.15,27.6,8.94,3,564,0.4,0.84,8.2,0.32,3.4,277,1,21.9,2.31,121,56.6,18,2.65,7.6,5.4,5.23,1,0.006,0.92,0.07,0.15,0.06,0.04,2.5,100.25,0.5,5,0.6,8,5,10,1,20,2,25,10,45,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.4,978,10,0.6,8.74,3.28,5.81,20,18.8,1.3,1.34,676,0.4,1.3,299,90.9,2.7,36.7,4,42,0.1,1.86,4.7,0.42,6.9,106,1,33.7,2.5,47,37.5,5.7,29.8,5.3,2.3,0.02,0.1,0.002,0.13,0.21,0.28,0.01,0.01,11.4,92.73,87.4,152,5.8,253,10000,10,1,91,32,18,10,2000,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7270,337,10,5.54,7.36,4.21,2.14,15,12.7,11.6,1.26,199,0.69,9.5,137,37,113.5,21.6,3,70,0.7,1.32,21.8,0.55,12.8,112,4,34.2,4.38,396,58.9,15.4,8.23,0.9,2.3,0.52,9.4,0.002,0.42,0.16,0.13,0.01,0.75,2.5,99.49,7.7,7,1.2,11,2980,20,2,7,93,16,10,385,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6570,91.2,10,1.23,3.87,2.86,0.89,9.7,4.34,8.4,0.8,55.5,0.5,7.7,37.7,10.15,90.6,6.81,2,84,0.6,0.57,17.4,0.45,8.4,28,2,22.4,3.27,296,59.4,14.9,10.3,0.8,1.1,0.74,9.5,0.002,0.42,0.11,0.11,0.01,0.85,3.3,101.49,17.4,29,1.9,61,6420,10,2,21,152,11,10,490,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,53.1,10,0.99,1.19,0.45,1.27,20.6,2.6,5.4,0.19,25.6,0.09,5.5,26.3,6.68,26.1,4.44,1,449,0.3,0.27,4.9,0.07,0.9,14,1,5.3,0.57,178,73.3,14.8,3.37,3.3,0.5,4.08,1.2,0.002,0.26,0.04,0.09,0.05,0.08,0.2,101.22,0.5,5,0.5,3,1,20,1,1,10,3,10,86,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,20.3,20,1.36,3.1,1.45,1.04,22.9,3.53,3.7,0.57,7.3,0.22,5.4,14,3.15,48.2,3.58,1,440,0.5,0.46,0.5,0.23,0.6,118,1,17.4,1.67,138,60.8,17.2,7.44,6.3,2.9,3.45,1.5,0.003,0.93,0.1,0.18,0.05,0.07,0.7,101.51,0.5,5,0.5,14,6,20,1,5,6,10,10,98,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,37,10,3.84,2.17,1.42,0.95,21.8,2.65,4.9,0.47,18.7,0.23,9.5,17,4.35,96.4,3.25,2,324,0.8,0.4,8.5,0.18,1.4,32,1,14.3,1.37,167,70.6,14.6,4.7,3.1,0.9,3.88,2.2,0.002,0.42,0.06,0.12,0.04,0.11,0.7,101.33,0.5,5,0.5,4,2,30,1,4,11,4,10,82,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,47.8,10,4.32,4.17,2.27,0.7,16.5,4.12,6,0.76,22.2,0.34,6.8,21.3,5.44,113.5,4.63,2,137,0.7,0.64,11.8,0.3,2.4,25,1,21.8,2.14,183,75.3,13.2,3.12,1.9,0.5,3.3,3.1,0.002,0.26,0.05,0.08,0.01,0.1,0.7,101.58,0.5,5,0.5,3,1,30,1,2,12,7,10,50,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,45.4,10,1.88,3.98,2.28,0.63,17.4,4.21,4.2,0.75,21.3,0.23,5,20.4,5.41,98.5,4.37,1,158,0.5,0.64,6,0.3,1.1,22,2,22.6,1.9,134,73.7,13.4,2.92,1.9,0.4,3.68,3.6,0.002,0.21,0.04,0.04,0.01,0.13,0.5,100.39,0.5,5,0.5,3,1,10,1,1,10,5,10,39,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3190,32.4,30,2.76,4.05,2.47,1,18.2,4.04,4.7,0.77,15.4,0.29,6.6,17.6,4.15,116,4.06,1,268,0.4,0.63,5.8,0.32,1,93,1,23,2.09,174,65.8,15,5.72,3.8,1.8,2.68,3.8,0.004,0.65,0.09,0.17,0.03,0.33,1,100.82,0.5,5,0.5,8,11,20,1,5,19,14,10,77,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
