SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
55,1.43,16.9,8.07,0.1,4.12,6.88,4.14,2.47,0.52
58.8,1.19,16.8,6.74,0.09,2.97,5.74,4.72,2.51,0.46
72.5,0.17,12.8,1.03,0.05,0.2,0.87,2.8,5.55,0.03
60.95,1.06,15.7,5.95,0.08,2.82,5.63,4.34,2.57,0.41
60.8,1.03,15.9,5.95,0.07,2.76,5.51,4.6,2.7,
61.97,1.02,15.53,6.21,0.05,2.63,5.42,4.39,2.84,
61.27,0.93,16.2,5.42,0.07,2.44,4.8,3.74,2.86,0.28
63.6,0.83,15.8,4.8,0.06,1.99,4.02,4.4,3.31,0.29
64.8,0.71,15.4,4.18,0.06,1.77,3.51,4.24,3.52,0.22
61.4,0.97,16.2,5.74,0.08,2.74,5.06,4.3,2.82,0.32
52.46,1.46,16.54,9.47,0.12,5.34,8.37,3.69,1.72,0.36
52.25,1.34,17.18,9.29,0.13,5.9,8.19,3.54,1.71,0.38
52.3,1.47,16.4,9.61,0.14,5.45,8.43,3.71,1.83,0.35
57.88,1.02,16.91,6.87,0.09,3.71,6.32,3.92,2.18,0.3
64.91,0.61,15.7,3.92,0.07,1.9,3.89,3.83,3.49,0.18
65.77,0.6,15.63,3.94,0.07,1.75,3.76,3.89,3.52,0.19
58.92,0.86,16.66,6.3,0.09,3.26,5.44,3.7,2.63,0.28
61.83,0.75,15.93,4,0.06,1.65,3.58,3.12,3.99,0.22
57.6,1.05,16.5,7.08,0.09,3.69,6.17,3.92,2.24,0.31
59.1,1.08,16.05,6.57,0.08,3.14,5.3,3.86,2.86,0.34
59.97,1.11,16.19,6.67,0.08,3.18,5.36,3.74,3.16,0.34
60.21,0.93,16.14,6.04,0.09,3.18,5.46,3.89,2.67,0.29
62.61,0.7,15.81,4.91,0.08,2.56,4.49,4.03,2.76,0.22
59.79,0.88,16.62,5.87,0.08,2.73,5.62,3.91,3.1,0.31
57.28,1.03,16.44,7.02,0.09,4.26,6.26,3.96,2.18,0.31
59.9,0.96,16.2,6.03,0.08,3.12,5.33,3.93,2.79,0.33
62.7,0.87,15.5,5.47,0.08,2.65,4.55,3.89,2.93,0.28
60.2,0.94,16.1,5.74,0.08,2.85,5.07,3.98,2.62,0.3
61.39,0.82,15.99,5.56,0.08,2.8,4.83,3.73,2.84,0.26
60.76,0.98,15.97,6.16,0.09,3.13,5.36,4,2.67,0.3
62.55,0.79,16.58,4.89,0.07,2.07,4.45,4.14,3.17,0.28
56.9,0.93,17.2,7.14,0.1,4.41,6.74,4.02,1.92,0.28
58.3,0.96,17.97,6.1,0.1,2.46,5.76,4.64,2.27,0.39
61.3,0.81,16.5,5.35,0.08,2.46,4.97,4.2,2.75,0.3
61.02,0.9,16.19,5.83,0.08,2.96,5.27,3.97,2.66,0.28
56,1,18.53,6.72,0.09,2.72,6.09,4.06,2.08,0.3
60,0.78,17.6,6.07,0.08,2.03,4.95,4.28,2.78,0.34
63.48,0.67,16.72,4.71,0.07,2.2,4.52,4,2.98,0.23
58.42,0.69,18.35,5.47,0.1,2.07,4.67,3.72,2.26,0.25
63.89,0.6,16.83,4.48,0.08,1.42,3.9,4.5,3.21,0.28
60.18,0.84,16.53,6.93,0.12,3.36,6.34,3.54,2.55,0.22
59.6,0.8,16.6,6.69,0.11,3.2,6.31,3.65,2.47,0.22
61.93,0.78,16.6,5.17,0.08,2.38,4.85,4.3,2.63,0.27
61.3,0.46,16.05,3.79,0.08,1.25,3.31,3.8,3.07,0.26
59.2,0.78,17.4,6.16,0.09,2.66,5.65,4.04,2.26,0.31
58.3,0.8,17.6,6.68,0.11,3.11,6.1,4.12,2.05,0.25
58,0.79,17.6,6.54,0.1,3.09,6.12,4.22,2.06,0.25
62.3,0.55,17.4,4.9,0.1,1.69,4.81,4.52,2.47,0.28
58.1,0.9,17.1,6.45,0.09,3.29,6.03,4.31,2.2,0.3
