SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
71.69,0.3,13.37,1.7,0.04,0.58,1.42,4.03,4.42,0.09
59.21,1.27,16.41,6.9,0.09,3.19,5.54,4.3,2.88,0.46
59.15,1.28,16.39,2.55,0.08,3.15,5.46,4.55,2.97,0.48
57.91,1.32,16.22,2.77,0.14,3.45,5.83,4.27,2.73,0.48
58.6,1.33,16.64,2.7,0.09,3.2,5.66,4.43,2.89,0.48
58.61,1.28,16.3,6.89,0.09,3.19,5.55,4.28,2.84,0.46
63.9,0.89,15.5,4.54,0.06,1.85,3.74,4.5,3.56,0.37
59.53,1.31,16.36,7.05,0.1,3.28,5.55,4.35,2.82,0.46
63.8,0.82,16,4.21,0.06,1.77,3.77,4.49,3.48,0.32
59.15,1.3,16.37,6.99,0.09,3.25,5.49,4.35,2.91,0.45
58.85,1.27,16.15,2.78,0.09,3.19,5.5,4.22,2.87,0.45
59.28,1.29,16.18,6.78,0.09,3.16,5.47,4.34,2.93,0.47
59,1.24,16.17,2.57,0.09,3.18,5.49,4.32,2.89,0.45
58.3,1.29,16.3,6.52,0.08,3.08,5.38,4.42,2.98,0.49
59.17,1.32,16.31,7.1,0.1,3.3,5.55,4.39,2.89,0.46
57.9,1.35,16.3,7.05,0.09,3.14,5.51,4.34,2.96,0.5
68.22,0.52,15.09,3.03,0.05,1.09,2.46,4.17,4.07,0.18
63.4,0.86,15.5,4.37,0.06,1.78,3.68,4.43,3.63,0.35
58.38,1.33,16.37,2.83,0.09,3.23,5.6,4.64,2.94,0.49
72.2,0.27,13.3,1.7,0.04,0.45,1.27,3.89,4.51,0.09
64.4,0.82,15.7,4.23,0.06,1.77,3.6,4.44,3.66,0.32
63.44,0.98,15.7,4.92,0.06,2.03,4.11,4.66,3.61,0.4
57.3,1.32,16.32,7.19,0.1,3.35,5.93,3.9,2.61,0.47
59.11,1.33,16.35,7.13,0.09,3.38,5.57,4.39,2.89,0.46
61.05,1.15,16.71,6.21,0.08,2.58,4.99,4.47,3.24,0.42
58.93,1.28,16.23,2.93,0.09,3.27,5.57,4.37,2.83,0.46
59.23,1.33,16.33,7.15,0.09,3.33,5.66,4.33,2.81,0.46
59.1,1.25,16.52,7,0.11,3.2,5.61,4.42,2.81,0.45
61.8,1.06,15.7,5.55,0.07,2.58,4.63,4.38,3.35,0.4
58.5,1.27,16.2,6.82,0.09,3.2,5.46,4.28,2.86,0.46
59.8,1.13,16.2,6.45,0.09,2.92,5.29,4.14,3.02,0.4
67.82,0.5,15.05,2.9,0.05,1.03,2.34,4.13,4.04,0.18
58.7,1.26,16.4,6.77,0.09,3.18,5.47,4.3,2.86,0.46
61.05,1.06,15.72,5.63,0.08,2.66,4.8,4.36,3.36,0.4
62.6,0.92,16.11,5.08,0.08,2.1,4.22,4.29,3.32,0.35
72.68,0.35,13.69,2.06,0.04,0.7,1.66,4.08,4.49,0.1
57.64,1.43,16.55,6.95,0.09,3.11,5.55,4.45,2.77,0.54
59.32,1.31,16.29,7.07,0.1,3.28,5.49,4.4,2.92,0.46
58.6,1.14,16.7,6.64,0.09,2.84,5.4,4.09,2.89,0.41
73.6,0.25,13.3,1.62,0.04,0.44,1.29,3.83,4.37,0.09
61.7,1.11,15.4,5.41,0.07,2.26,4.29,4.43,3.41,0.44
58.36,1.35,16.63,7.13,0.09,3.22,5.81,4.35,2.94,0.49
58.83,1.26,16.29,2.68,0.11,3.21,5.61,4.27,2.83,0.46
63.18,0.92,15.47,4.71,0.07,1.93,3.86,4.4,3.48,0.38
58.32,1.32,16.64,6.97,0.09,3.13,5.75,4.34,2.89,0.5
68.2,0.5,14.8,2.92,0.05,1.03,2.28,4.05,4.13,0.18
59.35,1.35,16.4,7.28,0.1,3.4,5.66,4.4,2.79,0.47
63.1,1.02,15.8,5.02,0.07,2.06,4.19,4.5,3.45,0.4
58.63,1.24,16.3,2.6,0.11,3.2,5.6,4.23,2.81,0.45
67.3,0.5,14.5,2.94,0.05,1.01,2.23,4.02,4.09,0.18
60.53,1.23,15.95,6.26,0.08,3.09,5.41,4.4,3.23,0.44
59.9,1.17,15.7,6.14,0.08,3.06,5.2,4.32,3.1,0.44
59.03,1.3,16.39,6.92,0.09,3.31,5.59,4.41,2.89,0.46
68.6,0.48,15,2.77,0.05,0.96,2.3,4.11,4.18,0.17
64.03,0.86,15.63,4.65,0.07,1.93,3.91,4.45,3.6,0.34
64.61,0.88,15.57,2.35,0.06,1.97,3.8,4.93,3.57,0.35
57.9,1.29,16,6.97,0.09,3.57,5.84,4.16,2.8,0.47
58.46,1.32,16.3,7,0.09,3.34,5.85,4.26,3.04,0.5
63.5,0.87,15.8,4.83,0.07,1.93,3.88,4.31,3.5,0.34
53.5,1.62,15.91,5.83,0.11,4.99,7.39,4.36,2.5,0.77
56.5,1.4,16.48,8.12,0.1,4.05,6.5,4.13,2.28,0.42
58.7,1.32,16,6.87,0.09,3.25,5.66,4.24,2.95,0.51
52.99,1.61,15.85,8.78,0.11,4.89,7.54,4.25,2.49,0.69
62.6,0.89,15.89,5,0.07,2.01,4.19,4.13,3.31,0.34
53.14,1.61,15.86,8.65,0.11,5.01,7.5,4.22,2.52,0.78
53.13,1.63,15.97,8.79,0.11,4.98,7.64,4.18,2.5,0.77
56.55,1.4,16.36,2.46,0.14,4.05,6.39,4.11,2.24,0.42
64.2,0.84,15.7,4.65,0.07,1.85,3.73,4.3,3.54,0.32
64.3,0.74,15.7,4.15,0.06,1.69,3.48,4.2,3.65,0.27
64.2,0.75,15.8,4.13,0.06,1.68,3.47,4.16,3.62,0.27
67.3,0.52,15.1,2.99,0.05,1.05,2.46,3.99,4.04,0.18
53.32,1.63,15.9,8.69,0.11,5.03,7.52,4.28,2.49,0.77
62.3,0.89,15.8,4.92,0.07,2.04,4.09,4.23,3.38,0.34
63.6,0.84,15.7,4.67,0.07,1.84,3.78,4.19,3.54,0.32
67.02,0.59,15.02,3.3,0.06,1.23,2.78,4.23,4.12,0.2
56.66,1.4,16.45,8.39,0.11,4.15,6.56,4.14,2.27,0.42
59.85,1.13,16,6.16,0.08,2.89,5.14,4.12,3.29,0.42
56.79,1.39,16.43,8.24,0.11,4.13,6.43,4.08,2.25,0.41
56.73,1.39,16.37,2.89,0.11,4.04,6.4,4.09,2.23,0.41
58.36,1.33,16.17,7.34,0.1,3.82,6.21,4.3,2.82,0.47
62.24,1.08,15.8,5.71,0.08,2.65,4.82,4.58,3.41,0.4
56.54,1.39,16.39,2.8,0.13,4.15,6.39,4.07,2.24,0.42
57.3,1.31,15.9,6.94,0.09,3.44,5.77,4.11,3,0.5
,,,,,,,,,
,,,,,,,,,
59.87,1.15,16.25,3.07,0.08,2.93,5.15,4.28,3.23,0.43
59.25,1.17,16.44,3.25,0.08,3.02,5.29,4.24,3.2,0.44
59.5,1.15,16,6.11,0.08,2.9,5.13,4.11,3.18,0.43
58.96,1.16,16.02,6.2,0.08,2.95,5.24,4.26,3.24,0.42
59.66,1.16,16.14,6.36,0.09,2.96,5.23,4.2,3.25,0.43
60.07,1.14,16.09,3.09,0.08,2.94,5.15,4.56,3.18,0.41
59,1.22,16,6.42,0.08,3.04,5.36,4.17,3.12,0.44
58,1.33,16.1,6.96,0.09,3.42,5.82,4.06,3.01,0.51
55.78,1.64,16.58,8.43,0.1,4.16,6.7,4.44,2.32,0.57
58.76,1.33,16.25,6.64,0.08,3.19,5.5,4.36,3.01,0.51
74.57,0.22,13.07,1.32,0.04,0.39,0.82,3.71,4.72,0.04
56.57,0.8,18.72,7.78,0.15,3.55,7.45,3.58,1.91,0.21
64.53,0.71,15.74,4.65,0.07,1.99,3.94,3.51,4.22,0.2
60.75,1.06,16.85,6.48,0.1,2.37,5.35,4.41,2.91,0.41
60.05,1.09,17.06,6.61,0.1,2.39,5.48,3.94,2.82,0.42
60.75,0.91,17.42,5.88,0.1,2.08,5.13,4.12,2.91,0.43
62.5,0.68,16.2,5.19,0.09,2.28,4.7,4.13,2.75,0.19
62.6,0.75,15.9,5.27,0.08,2.54,4.55,4.05,2.79,0.21
60.6,0.88,16.6,5.82,0.09,2.77,5.13,3.93,2.65,0.23
62.1,0.74,16,5.12,0.08,2.52,4.68,4.09,2.73,0.2
62.4,0.8,15.8,5.4,0.08,2.6,4.48,4.02,2.74,0.18
64.6,0.63,15.8,4.46,0.07,1.97,4.02,4.07,3.09,0.18
62.9,0.59,15.6,4.28,0.07,1.81,3.97,3.68,3.07,0.17
63.92,0.65,15.21,4.54,0.08,1.93,3.8,3.66,3.42,0.17
59.74,0.83,17.71,6.52,0.1,2.47,5.65,3.66,2.32,0.34
62.52,0.8,16.44,5.41,0.08,2.75,4.91,4.23,2.81,0.21
64.58,0.62,16.28,3.94,0.07,2.05,3.98,4.6,3.14,0.18
54.06,,,,,5.59,,,,
60.92,0.84,17.63,5.85,0.08,2.59,5.07,4.05,2.97,0.22
61.39,0.8,17.36,5.64,0.08,2.25,4.96,4.48,2.74,0.24
63.46,0.66,16.69,4.66,0.07,1.98,4.15,4.39,3.17,0.2
62.27,0.74,16.92,5.41,0.08,2.44,4.83,4.39,2.73,0.2
59.1,1.04,16.99,7.06,0.09,3.73,5.97,4.11,2.47,0.27
60.61,0.84,17.13,6.19,0.1,2.39,5.4,4.15,2.76,0.28
58.85,0.78,17.61,3.6,0.08,2.73,5.11,3.41,2.3,0.25
57.66,1.26,17.35,3.12,0.09,3.47,6.01,4.54,2.4,0.37
53.59,,,,,8.37,,,,
64.69,0.66,16.2,4.33,0.06,1.77,3.68,4,3.57,0.19
62.73,0.59,17.62,3.9,0.07,1.53,4.9,4.53,2.52,0.19
65.25,0.6,16.43,3.9,0.06,1.61,3.86,4.63,2.81,0.17
60.01,0.95,16.54,2.41,0.08,2.78,5.17,4.03,2.96,0.29
60.02,0.95,16.62,2.49,0.08,2.84,5.35,4.07,2.92,0.29
65.86,0.56,16.22,1.18,0.06,1.81,3.78,4.33,3.42,0.16
60.56,0.95,16.8,2.35,0.09,3.19,5.62,4.18,2.6,0.26
57.66,1,17.39,2.79,0.11,3.79,6.5,4.13,2.13,0.25
62.13,0.5,17.15,1.49,0.09,1.21,3.1,3.82,2.92,0.19
64.58,0.62,16.1,3.9,0.07,1.87,3.83,4.37,2.94,0.18
66.19,0.57,15.55,3.61,0.05,1.2,3.02,4.08,3.72,0.16
58.6,0.95,16.7,,0.11,3.5,6,3.7,2.5,0.25
60.9,0.89,16.9,,0.07,2.6,5.1,4,2.7,0.32
61.2,0.92,17.2,,0.06,2.1,5.1,4.3,2.9,0.26
61.2,0.88,16.5,,0.09,2.6,5,3.8,3,0.24
61.4,0.84,16.6,,0.07,2.6,5.1,3.8,2.9,0.24
63,0.82,16.6,,0.07,2.4,4.9,3.9,3,0.23
63.5,0.73,15.9,,0.08,1.9,4,3.9,3.4,0.2
64.4,0.86,16.7,,0.1,1.4,4,4.1,3.2,0.24
52.9,1.25,16.2,,0.14,6.8,8.4,3.3,1.5,0.23
54.5,1.32,16.1,,0.12,6.6,8.5,3.4,1.4,0.23
60.1,0.91,16.8,,0.08,2.9,5.2,3.6,2.9,0.23
62.5,0.84,16.7,,0.08,2.4,4.8,4,3,0.23
63.5,0.77,16.2,,0.06,2.1,4.4,4.4,3.2,0.25
64.6,0.61,15.9,,0.06,1.7,3.6,4.1,3.5,0.18
65.6,0.57,15.5,,0.06,1.4,3.5,4.1,3.7,0.18
65.7,0.6,15.6,,0.05,1.5,3.4,4,3.7,0.17
67,0.55,15.4,,0.05,1.2,3.1,4.1,3.8,0.17
62.08,0.82,16.53,5.48,0.08,2.66,4.87,3.73,2.98,0.21
58.08,1.22,16.21,6.97,0.1,4.28,6.19,3.85,2.67,0.33
54.22,0.95,16.02,8.46,0.13,7.66,7.88,3.14,1.19,0.2
54.22,0.95,16.02,8.46,0.13,7.66,7.88,3.14,1.19,0.2
56.38,1.07,17.39,8.05,0.1,3.9,6.77,3.71,2.15,0.28
53.09,1.42,17.27,9.26,0.11,5.19,8.71,3.52,1.46,0.27
66.38,0.57,15.68,3.67,0.05,1.21,3.04,4.08,3.77,0.17
62.12,0.89,16.75,5.43,0.07,2.37,4.89,3.99,3.11,0.24
63.37,0.77,16.57,5.09,0.06,2.09,4.36,4.13,3.19,0.18
63.23,0.78,16.34,4.9,0.07,2.17,4.37,3.71,3.34,0.2
61.65,1.01,16.66,6.1,0.08,2.81,5.13,3.85,2.78,0.26
62.7,0.76,16.29,5.39,0.08,2.64,4.67,3.75,3.04,0.2
63.46,0.75,16.19,4.79,0.06,2.1,4.22,3.96,3.14,0.21
62.41,0.76,16.82,5.2,0.07,2.17,4.68,4.11,2.88,0.22
61.57,0.85,16,5.19,0.07,2.19,5.37,3.97,2.9,0.22
60.41,0.94,16.93,6.35,0.09,3.57,5.87,3.52,2.76,0.22
60.52,1.05,17.28,6.38,0.08,3.33,5.77,4.3,2.38,0.25
62.15,0.81,16.69,5.47,0.08,2.37,4.75,4.12,2.89,0.24
63.79,0.77,16.28,4.89,0.07,2.09,4.19,4.04,3.19,0.21
55.97,1.16,16.59,7.69,0.11,4.85,6.87,3.67,2.09,0.25
56.18,1.17,16.78,7.94,0.1,4.61,6.95,3.75,2.05,0.27
61,0.76,16.9,4.95,0.08,1.75,4.35,4.16,2.64,0.26
62.9,0.65,16,4.66,0.07,2.26,4.37,4.24,2.81,0.18
63.3,0.65,15.6,4.51,0.07,2.38,4.01,4.17,3.08,0.18
55.62,0.96,17.2,7.75,0.11,5.05,7.63,3.22,1.68,0.28
63,0.68,16.8,4.73,0.08,1.65,4.3,4.83,2.69,0.21
56.42,0.87,16.53,7.4,0.1,5.69,6.98,3.64,1.71,0.22
61.8,0.68,15.8,5.14,0.08,3.37,4.72,4.04,2.55,0.18
56.4,0.73,15.8,7.29,0.12,6.04,6.77,3.9,1.74,0.17
63,0.77,15.4,4.95,0.07,2.27,4.1,4.05,3.11,0.23
59.8,0.71,16.1,6.7,0.12,3.72,6.49,2.84,2.52,0.15
57,0.74,16.3,7.79,0.14,4.54,7.68,2.59,2.08,0.15
62.2,0.8,16.1,5.66,0.09,2.82,5.31,3.18,2.85,0.18
60.1,0.88,16.1,6.36,0.1,3.62,5.82,3.16,2.42,0.18
60.8,0.73,16,6.42,0.11,3.65,5.98,2.93,2.66,0.16
63.1,0.75,16,5.15,0.08,2.53,4.83,3.5,2.84,0.18
56.4,1.06,17.5,8,0.1,3.94,7.13,2.96,1.89,0.22
59.8,1.1,16.4,6.07,0.08,3.05,5.78,4.66,1.91,0.37
62.8,0.65,15.3,5.05,0.08,3.09,4.91,3.1,2.95,0.14
61.2,0.78,15.7,5.92,0.09,3.61,5.49,3.52,2.52,0.19
62.4,0.85,16,5.48,0.08,2.69,4.99,3.45,2.8,0.22
60.5,0.75,16.4,5.85,0.1,3.1,5.82,3.58,2.44,0.18
63,0.79,15.8,5.29,0.08,2.66,4.89,3.68,2.96,0.2
61.5,0.85,16.4,5.48,0.09,2.5,5.36,3.63,2.52,0.22
62.6,0.82,15.9,5.4,0.08,2.74,4.97,3.36,2.88,0.21
60.5,0.96,16.2,5.99,0.08,3.2,5.54,3.41,2.62,0.25
60.3,0.9,16.7,5.84,0.09,2.63,5.64,3.64,2.16,0.23
60.5,0.84,16.9,5.49,0.08,2.26,5.38,3.64,2.44,0.22
59.6,0.87,16.9,6.07,0.09,2.96,5.97,3.55,2.18,0.23
59.8,0.86,16.8,5.95,0.09,2.89,5.81,3.5,2.15,0.23
60.8,0.8,16.9,5.74,0.09,2.66,5.5,3.82,2.46,0.22
59.3,0.88,17,6.05,0.09,2.96,6.06,3.68,2.08,0.24
60.9,0.86,16.7,5.66,0.08,2.51,5.45,3.81,2.31,0.22
61,0.84,16.7,5.61,0.08,2.61,5.51,3.52,2.33,0.21
57.6,1,17.4,7.07,0.1,3.61,6.8,3.23,1.81,0.23
60.4,0.79,16.8,5.78,0.09,2.77,5.61,3.4,2.36,0.22
60.2,0.79,16.8,5.82,0.09,2.86,5.65,3.51,2.32,0.22
56.8,0.88,17.6,6.96,0.12,3.6,6.85,3.6,1.92,0.24
61,0.77,16.8,5.66,0.09,2.63,5.41,3.98,2.54,0.22
52.65,1.22,15.39,8.31,0.12,8.1,8.39,2.69,1.81,
58.02,0.85,17.22,6.88,0.12,3.68,7.17,3.73,1.55,0.32
57.39,0.86,17.18,6.9,0.12,3.67,7.09,3.64,1.54,0.33
59.35,0.72,16.7,6.59,0.11,3.83,6.37,3.47,1.87,0.19
58.07,0.76,16.42,7.18,0.12,4.88,7.28,3.39,1.57,0.19
57.5,0.85,17.1,6.78,0.11,3.64,7.1,3.79,1.55,0.31
58.7,0.76,16.3,6.95,0.12,4.42,6.84,3.43,1.74,0.19
59.5,0.74,16.6,6.59,0.11,3.77,6.28,3.5,1.93,0.19
57.2,0.84,17,6.72,0.11,3.64,7.18,3.88,1.54,0.31
63.84,0.62,15.78,4.89,0.09,2.53,4.39,3.28,2.35,0.18
60.96,0.73,16.15,5.83,0.1,3.42,5.06,3.03,2.01,0.21
57.73,0.88,17.14,7.06,0.12,3.74,7.14,3.7,1.54,0.33
60.57,0.71,17.66,5.64,0.1,2.51,5.83,3.93,1.94,0.25
55.29,0.83,16.64,7.97,0.13,5.32,7.76,3.43,1.18,0.23
63.97,0.55,16.47,4.86,0.09,1.88,4.44,3.72,2.73,0.22
55.86,0.84,17.08,7.73,0.13,4.92,7.77,3.54,1.25,0.24
57.39,0.85,16.61,6.99,0.11,4.72,6.91,3.62,1.49,0.24
60.4,0.71,17.85,5.67,0.1,2.5,5.96,3.93,1.89,0.24
60.6,0.72,17.4,5.53,0.1,2.44,5.68,4.07,1.99,0.24
60.68,0.71,17.69,5.67,0.1,2.51,5.89,3.92,1.94,0.24
61.5,0.66,16.34,5.57,0.1,2.84,5.24,3.59,2.26,0.21
61.65,0.69,16.16,5.86,0.1,2.95,5.25,3.58,2.26,0.21
60.97,0.71,17.62,5.63,0.1,2.49,5.84,3.95,1.96,0.24
60.77,0.71,17.66,5.53,0.1,2.44,5.79,3.94,1.96,0.24
59.22,0.72,16.74,6.43,0.11,3.52,6.04,3.55,1.85,0.22
56.86,0.96,17.06,7.41,0.11,3.96,7.14,3.38,1.5,0.24
58.41,0.76,16.42,7.17,0.12,4.79,7.2,3.39,1.61,0.19
59.71,0.73,16.42,6.37,0.11,3.5,5.97,3.48,1.99,0.2
58.46,0.75,16.01,7.23,0.12,4.7,6.91,3.29,1.68,0.19
,,,,,,,,,
56.41,1.44,15.55,,0.13,6.68,6.83,3.1,2.92,
63.7,0.76,15.8,4.73,0.07,2.24,4.36,4.21,2.5,0.24
62.1,0.75,15.7,4.32,0.06,2.04,4.55,4.24,2.82,0.28
57.5,1.06,16.2,6.49,0.09,4.07,6.48,4.07,1.94,0.38
64.1,0.72,16.1,4.31,0.07,2,4.12,4.57,2.77,0.26
62.9,0.78,16.1,5.4,0.08,2.67,5.03,3.44,2.77,0.18
59.8,1.01,16.1,5.94,0.08,3.26,5.7,4.3,2.08,0.37
72.3,0.18,14.42,1.4,0.08,0.25,1.54,3.92,4.47,0.05
52.03,1.12,15.45,7.89,0.16,7.71,8.8,3.84,1.84,
50.61,1.16,15.43,7.61,0.11,7.65,10.64,3.3,1.52,
56.6,1.23,16.22,7.19,0.11,5.65,7.11,3.31,2.13,
63.4,0.72,16,4.49,0.08,1.91,4.25,3.88,3.25,0.21
53.55,0.9,14.8,,0.13,9.36,8.33,2.97,1.57,0.28
53.08,1.19,14.81,,0.15,8.99,8.36,3.14,1.86,0.31
64,0.82,16.9,4.31,0.07,2.41,4.17,2.62,3.75,0.33
64.5,0.81,17.3,3.91,0.07,2.27,4.06,2.51,3.83,0.35
64.3,0.82,17.3,3.99,0.07,2.27,4.14,2.55,3.79,0.35
72.7,0.24,14.5,1.73,0.06,0.5,1.01,3.78,4.38,0.28
50.1,1.5,14.5,8.02,0.12,7.87,6.99,2.79,4.81,1.28
55.2,0.77,17.8,6.9,0.13,3.64,5.31,4.13,1.28,0.25
60.7,0.75,16.6,5.02,0.13,2.03,4.59,4.27,2.41,0.22
63.3,0.85,16.1,4.81,0.06,1.9,4.14,4.6,3.25,0.32
57.1,1.1,16.6,7.44,0.1,4.07,6.58,3.9,2.25,0.3
,,,,,,,,,
57.7,1.24,16.7,6.66,0.09,3,5.76,4.51,2.73,0.55
58.3,1.1,16.1,5.93,0.08,2.78,5.56,4.77,3.05,0.56
62.3,0.98,16.2,5.25,0.07,2.1,4.45,4.67,3.16,0.4
61.9,0.94,15.9,5.28,0.07,2.24,4.43,4.46,3.19,0.35
60.4,1.02,16.8,5.55,0.07,2.21,4.68,4.99,3.11,0.48
60.1,1.05,16.4,5.89,0.09,2.59,5.07,4.54,2.93,0.4
61.4,0.91,16.2,5.14,0.07,2.14,4.59,4.55,3.12,0.35
61.1,0.99,16.5,5.75,0.07,2.34,4.8,4.49,2.93,0.36
59.8,1.16,16.4,6.41,0.08,2.82,5.25,4.5,2.71,0.4
60.3,1.11,16.3,6.1,0.09,2.49,5.02,4.67,2.82,0.43
58.6,1.12,16.9,6.17,0.08,2.77,5.23,4.81,2.85,0.51
61.4,0.99,16.2,5.72,0.07,2.38,4.78,4.59,2.96,0.4
62.7,0.81,16.1,4.93,0.07,2.18,4.27,4.56,3.22,0.31
61.8,0.9,16.5,5.35,0.07,2.33,4.71,4.64,3.04,0.34
63.4,0.78,16.3,4.48,0.06,1.64,3.79,4.61,3.32,0.33
60.2,1.15,16.2,5.84,0.07,2.27,4.99,4.6,2.82,0.45
62.5,0.78,16.1,4.38,0.06,1.66,3.71,4.17,3.89,0.33
57,1.02,18.7,6.87,0.11,2.17,6.3,4,2.25,0.33
57.1,1.14,16.4,7.64,0.1,4.08,6.56,3.92,2.25,0.31
,,,,,,,,,
57.25,1.01,17.06,7.35,0.1,4.32,6.62,4.04,2.04,0.29
58.1,1,17.68,6.35,0.09,2.83,5.78,4.12,2.67,0.29
58.02,0.97,18.25,5.84,0.08,2.12,5.52,4.37,2.79,0.33
61.93,0.85,15.46,5.23,0.08,2.59,4.54,3.82,3.14,0.28
63.35,0.81,15.92,5.13,0.08,2.47,4.61,4.15,3.04,0.28
58.69,0.96,17.4,6.53,0.09,2.49,5.34,4.33,2.74,0.33
54.2,1.2,17.8,8.74,0.14,3.75,7.13,3.59,2.27,0.35
68,0.2,12.6,1.44,0.08,0.4,1.17,2.86,4.79,0.05
75,0.16,13.3,0.48,0.02,0.03,0.48,3.61,4.76,0.03
72.3,0.15,13.9,1.07,0.06,0.16,0.71,3.09,5.11,0.01
70.6,0.21,12.9,1.6,0.07,0.6,1.29,2.39,4.93,0.06
64.2,0.68,15.6,3.83,0.05,1.36,3.28,4.38,3.18,0.27
61.95,0.71,15.33,4.1,0.06,1.66,3.22,4.07,3.19,0.28
61.97,0.57,15,3.44,0.1,1.52,4.16,3.25,3.52,0.22
72.9,0.14,13,0.84,0.09,0.1,0.48,2.2,6.96,0.02
72.2,0.34,14.3,1.73,0.07,0.31,0.83,4.92,4.63,0.06
64.7,0.1,11,0.74,0.05,0.29,4.6,2.59,4.69,0.01
66.6,0.52,14.8,3.12,0.06,1.04,2.72,4.18,3.72,0.18
69.1,0.32,14.3,1.63,0.07,0.3,0.69,3.08,6.11,0.05
74,0.15,12.3,0.97,0.03,0.12,0.51,2.88,5.77,0.02
72.9,0.15,12.5,1,0.06,0.13,0.87,3.64,5.16,0.02
72.7,0.18,13.3,1.02,0.06,0.22,0.67,3.95,5.11,0.04
73.2,0.22,13.8,1.52,0.08,0.32,1.2,4.44,3.99,0.06
70.5,0.21,13.3,1.63,0.08,0.44,1.4,4.24,4.01,0.06
,,,,,,,,,
66.4,0.42,15.5,2.33,0.06,0.6,1.84,3.81,3.88,0.11
64.85,0.3,12.68,1.45,0.07,0.31,2.79,4.13,4.24,0.05
67.33,0.22,12.71,1.09,0.05,0.55,2.28,2.21,3.4,0.03
70.16,0.15,13.42,0.87,0.08,0.36,0.81,2.94,4.92,0.02
69.1,0.44,14.7,2.09,0.06,0.5,1.02,3.61,5.53,0.1
67.1,0.6,14.4,2.84,0.06,0.79,1.81,4.05,4.59,0.11
61.3,0.27,12.2,1.33,0.06,0.39,4.46,4.04,4.15,0.05
70.1,0.34,14.1,1.77,0.07,0.37,1.03,4.75,4.41,0.06
71.3,0.26,13.2,1.61,0.08,0.19,0.7,4.15,4.9,0.05
73.2,0.37,12.6,2.46,0.11,0.28,0.54,3.94,5.01,0.07
56.3,1.15,16.7,7.75,0.1,4.2,6.93,3.78,2.11,0.3
72.8,0.32,14.2,1.55,0.06,0.24,0.63,4.62,4.9,0.06
68.1,0.27,15.7,1.71,0.1,0.39,1.39,3.12,4.81,0.06
62.5,0.61,17.1,5.13,0.09,1.89,4.03,3.97,2.61,0.17
53.2,0.99,17.8,8.88,0.15,4.45,7.9,3.22,1.74,0.25
69.35,0.3,15.2,0.86,0.04,0.61,2.15,4.44,3.73,0.1
73.88,0.24,14.18,1.38,0.07,0.39,1.15,4.53,4.24,0.04
55.98,1.5,17.12,8.18,0.11,3.4,6.74,3.93,1.96,0.59
63.93,0.78,16.51,4.52,0.08,1.77,3.85,4.29,3.35,0.28
54.12,1.67,15.55,3.55,0.16,4.69,6.6,3.97,2.66,0.7
61.6,0.68,16.7,5.15,0.09,2.41,4.99,3.68,2.78,0.2
62.8,0.68,17.7,3.82,0.03,0.61,2.75,3.49,2.94,0.2
62,0.83,16.9,4.71,0.07,1.21,4.03,4.62,2.77,0.33
59.85,1.18,16.21,3.33,0.09,2.97,5.33,4.14,2.88,0.41
63.04,1.14,16.21,5.46,0.07,2.13,4.49,4.61,3.19,0.4
58.96,1.25,16.48,6.3,0.08,2.23,5.45,4.83,3.37,0.66
60.35,1.11,16.43,6,0.13,2.39,5.07,4.5,3.24,0.52
60.45,1.23,16.42,5.96,0.11,2.48,5.24,4.78,3.18,0.5
65.78,0.6,15.37,4.05,0.07,1.58,3.76,2.99,3.71,0.15
63.16,0.63,16.05,4.57,0.08,1.89,4.86,3.32,2.7,0.18
54.9,1.69,15.86,8.61,0.1,4.29,6.76,4.27,2.51,0.73
60.45,0.97,17.22,6.26,0.1,2.45,5.35,4.29,2.74,0.46
54.9,1.69,15.86,8.61,0.1,4.29,6.76,4.27,2.51,0.73
58.06,1.01,17.18,7.22,0.09,3.82,6.34,4.04,2.42,0.24
59.86,0.89,18.15,5.97,0.11,2.24,5.61,4.25,2.88,0.35
56.54,0.98,18.8,6.78,0.08,2.73,6.9,4.18,1.96,0.26
57.26,0.85,17.32,6.87,0.1,3.78,6.53,3.83,2.19,0.24
71.8,0.19,13.71,1.03,0.06,0.25,0.7,4.31,4.64,0.05
57.08,0.88,16.97,7.38,0.1,4.67,6.96,3.8,1.84,0.24
58.07,0.98,17.81,6.94,0.09,2.99,6.19,4.25,2.22,0.27
57.06,0.88,18.83,6.75,0.09,2.61,6.39,4.37,1.88,0.27
59.27,0.99,18.87,6.14,0.08,2.14,5.83,4.67,2.35,0.27
61.57,0.68,17.36,5.57,0.09,2.2,5,4.19,2.75,0.19
66.16,0.52,15.78,3.77,0.07,1.71,3.48,3.64,3.84,0.12
65.24,0.52,16.07,3.82,0.06,1.6,3.57,3.98,3.56,0.15
59.96,0.77,18.14,6.25,0.1,2.31,5.58,4.02,2.92,0.26
61.76,0.66,17.74,5.57,0.07,1.94,5.07,4.28,2.54,0.2
61.68,0.77,16.5,3.68,0.08,3.05,5.3,3.6,2.83,0.19
61.59,0.76,16.47,5.56,0.09,3.05,5.26,3.64,2.74,0.18
60.05,0.85,16.19,6.16,0.08,3.81,6.17,3.26,2.33,0.21
52.95,1.42,17.15,9.24,0.11,5.18,8.73,3.57,1.5,0.27
